gloss,diff,high,low,stem_gloss,molly_pos
hen,0.004901960784313725,0.004901960784313725,0,NA,NA
hiding,0.004901960784313725,0.00980392156862745,0.004901960784313725,NA,NA
high,0.004901960784313725,0.004901960784313725,0,NA,NA
his,0.004901960784313725,0.024509803921568627,0.0196078431372549,NA,NA
hurt,0.004901960784313725,0.00980392156862745,0.004901960784313725,NA,NA
i've,0.004901960784313725,0.004901960784313725,0,NA,NA
jacket,0.004901960784313725,0.004901960784313725,0,NA,NA
jelly,0.004901960784313725,0.00980392156862745,0.004901960784313725,NA,NA
jess,0.004901960784313725,0.004901960784313725,0,NA,NA
jill,0.004901960784313725,0.004901960784313725,0,NA,NA
keys,0.004901960784313725,0.00980392156862745,0.004901960784313725,NA,NA
kick,0.004901960784313725,0.00980392156862745,0.004901960784313725,NA,NA
knee,0.004901960784313725,0.00980392156862745,0.004901960784313725,NA,NA
later,0.004901960784313725,0.004901960784313725,0,NA,NA
leave,0.004901960784313725,0.00980392156862745,0.004901960784313725,NA,NA
lights,0.004901960784313725,0.004901960784313725,0,NA,NA
lions,0.004901960784313725,0.004901960784313725,0,NA,NA
living,0.004901960784313725,0.004901960784313725,0,NA,NA
looking,0.004901960784313725,0.014705882352941176,0.00980392156862745,NA,NA
march,0.004901960784313725,0.004901960784313725,0,NA,NA
mickey,0.004901960784313725,0.00980392156862745,0.004901960784313725,NA,NA
mommy's,0.004901960784313725,0.014705882352941176,0.00980392156862745,NA,NA
monster,0.004901960784313725,0.004901960784313725,0,NA,NA
noddy,0.004901960784313725,0.004901960784313725,0,NA,NA
ones,0.004901960784313725,0.004901960784313725,0,NA,NA
papa,0.004901960784313725,0.00980392156862745,0.004901960784313725,NA,NA
pens,0.004901960784313725,0.004901960784313725,0,NA,NA
pictures,0.004901960784313725,0.00980392156862745,0.004901960784313725,NA,NA
pingu,0.004901960784313725,0.004901960784313725,0,NA,NA
pounds,0.004901960784313725,0.004901960784313725,0,NA,NA
puppet,0.004901960784313725,0.004901960784313725,0,NA,NA
rachel,0.004901960784313725,0.004901960784313725,0,NA,NA
riding,0.004901960784313725,0.004901960784313725,0,NA,NA
roll,0.004901960784313725,0.00980392156862745,0.004901960784313725,NA,NA
sam,0.004901960784313725,0.004901960784313725,0,NA,NA
santa,0.004901960784313725,0.004901960784313725,0,NA,NA
sarah,0.004901960784313725,0.00980392156862745,0.004901960784313725,NA,NA
saw,0.004901960784313725,0.00980392156862745,0.004901960784313725,NA,NA
says,0.004901960784313725,0.00980392156862745,0.004901960784313725,NA,NA
shed,0.004901960784313725,0.004901960784313725,0,NA,NA
shoulders,0.004901960784313725,0.004901960784313725,0,NA,NA
sir,0.004901960784313725,0.004901960784313725,0,NA,NA
standing,0.004901960784313725,0.004901960784313725,0,NA,NA
stick,0.004901960784313725,0.00980392156862745,0.004901960784313725,NA,NA
sweeties,0.004901960784313725,0.004901960784313725,0,NA,NA
talking,0.004901960784313725,0.004901960784313725,0,NA,NA
tape,0.004901960784313725,0.014705882352941176,0.00980392156862745,NA,NA
telly,0.004901960784313725,0.004901960784313725,0,NA,NA
tick+tock,0.004901960784313725,0.004901960784313725,0,NA,NA
tigger,0.004901960784313725,0.014705882352941176,0.00980392156862745,NA,NA
tinky_winky,0.004901960784313725,0.00980392156862745,0.004901960784313725,NA,NA
tired,0.004901960784313725,0.00980392156862745,0.004901960784313725,NA,NA
try,0.004901960784313725,0.00980392156862745,0.004901960784313725,NA,NA
wee+wee,0.004901960784313725,0.00980392156862745,0.004901960784313725,NA,NA
alex,0,0.004901960784313725,0.004901960784313725,NA,NA
andy,0,0.004901960784313725,0.004901960784313725,NA,NA
arms,0,0.004901960784313725,0.004901960784313725,NA,NA
babies,0,0.004901960784313725,0.004901960784313725,NA,NA
bears,0,0.004901960784313725,0.004901960784313725,NA,NA
beer,0,0.004901960784313725,0.004901960784313725,NA,NA
bees,0,0.004901960784313725,0.004901960784313725,NA,NA
