gloss,prop_know
for,0.7966101694915254
you,0.7966101694915254
are,0.7932203389830509
xxx,0.7932203389830509
see,0.7898305084745763
them,0.7898305084745763
like,0.7728813559322034
some,0.7728813559322034
can,0.7694915254237288
little,0.7694915254237288
at,0.7627118644067796
do,0.7593220338983051
him,0.7593220338983051
have,0.7491525423728813
it's,0.7491525423728813
um,0.7491525423728813
his,0.7457627118644068
then,0.7423728813559322
want,0.7423728813559322
yeah,0.7423728813559322
don't,0.7389830508474576
was,0.7389830508474576
going,0.7186440677966102
he's,0.7186440677966102
know,0.7186440677966102
back,0.7152542372881356
right,0.711864406779661
that's,0.7084745762711865
off,0.7050847457627119
come,0.7016949152542373
gonna,0.7016949152542373
not,0.7016949152542373
where,0.7016949152542373
oh,0.6983050847457627
big,0.6949152542372882
okay,0.6949152542372882
over,0.6915254237288135
so,0.6915254237288135
can't,0.688135593220339
but,0.6847457627118644
because,0.6813559322033899
just,0.6779661016949152
too,0.6745762711864407
put,0.6711864406779661
two,0.6711864406779661
I'm,0.6677966101694915
these,0.6677966101694915
went,0.6677966101694915
my,0.6644067796610169
look,0.6576271186440678
there's,0.6576271186440678
other,0.6542372881355932
me,0.6508474576271186
when,0.6508474576271186
did,0.6474576271186441
they're,0.6474576271186441
more,0.6406779661016949
take,0.6406779661016949
uh,0.6305084745762712
we,0.6271186440677966
let,0.6237288135593221
goes,0.6203389830508474
boy,0.6101694915254238
yes,0.6067796610169491
another,0.6033898305084746
something,0.5932203389830508
thing,0.5898305084745763
how,0.5864406779661017
way,0.5864406779661017
away,0.5796610169491525
be,0.5796610169491525
make,0.5796610169491525
open,0.576271186440678
three,0.5728813559322034
again,0.5694915254237288
had,0.5661016949152542
didn't,0.5627118644067797
what's,0.5627118644067797
play,0.5525423728813559
from,0.5457627118644067
home,0.5457627118644067
house,0.5457627118644067
why,0.5457627118644067
she,0.5423728813559322
your,0.5423728813559322
eat,0.535593220338983
I'll,0.535593220338983
if,0.535593220338983
red,0.535593220338983
those,0.5322033898305085
her,0.5288135593220339
around,0.5254237288135594
people,0.5254237288135594
has,0.5186440677966102
wanna,0.5186440677966102
came,0.511864406779661
saw,0.511864406779661
after,0.5084745762711864
door,0.5050847457627119
could,0.5016949152542373
good,0.5016949152542373
well,0.5016949152542373
into,0.49491525423728816
think,0.49491525423728816
time,0.49491525423728816
who,0.488135593220339
coming,0.4847457627118644
does,0.4847457627118644
where's,0.4847457627118644
will,0.4847457627118644
an,0.48135593220338985
stay,0.48135593220338985
were,0.48135593220338985
hey,0.47796610169491527
car,0.4711864406779661
four,0.46779661016949153
getting,0.46779661016949153
still,0.46779661016949153
wait,0.46779661016949153
here's,0.46440677966101696
let's,0.46440677966101696
about,0.4610169491525424
need,0.4610169491525424
trying,0.4610169491525424
through,0.4576271186440678
said,0.4542372881355932
ah,0.45084745762711864
by,0.45084745762711864
doesn't,0.45084745762711864
try,0.45084745762711864
hold,0.44745762711864406
baby,0.4440677966101695
dog,0.4440677966101695
doing,0.4440677966101695
say,0.4440677966101695
sit,0.4440677966101695
hm,0.4406779661016949
huh,0.4406779661016949
man,0.43728813559322033
or,0.43728813559322033
have_to,0.43389830508474575
looking,0.43389830508474575
fell,0.4271186440677966
first,0.4271186440677966
things,0.4271186440677966
book,0.423728813559322
mommy,0.423728813559322
took,0.423728813559322
turn,0.423728813559322
find,0.41694915254237286
running,0.41694915254237286
comes,0.4101694915254237
five,0.4101694915254237
told,0.4101694915254237
you're,0.4101694915254237
stop,0.4033898305084746
watch,0.4033898305084746
won't,0.4033898305084746
looks,0.4
she's,0.4
would,0.4
bed,0.39661016949152544
mean,0.39322033898305087
any,0.3898305084745763
boys,0.3898305084745763
mine,0.3898305084745763
nothing,0.3898305084745763
give,0.38305084745762713
made,0.38305084745762713
run,0.38305084745762713
school,0.38305084745762713
show,0.37966101694915255
tell,0.37966101694915255
their,0.37966101694915255
found,0.3728813559322034
name,0.3728813559322034
outside,0.3728813559322034
we're,0.3728813559322034
better,0.3694915254237288
hand,0.3694915254237288
uhhuh,0.3694915254237288
chair,0.36610169491525424
hi,0.36610169491525424
maybe,0.36610169491525424
side,0.36610169491525424
head,0.36271186440677966
old,0.36271186440677966
eating,0.3593220338983051
else,0.3593220338983051
fall,0.3593220338983051
only,0.3593220338983051
which,0.3593220338983051
gets,0.3559322033898305
inside,0.3559322033898305
money,0.3559322033898305
says,0.3559322033898305
wanted,0.3559322033898305
balloon,0.3525423728813559
day,0.3525423728813559
mm,0.3525423728813559
next,0.3525423728813559
water,0.3525423728813559
mhm,0.34915254237288135
top,0.34915254237288135
us,0.34915254237288135
walking,0.34915254237288135
wants,0.34915254237288135
hands,0.34576271186440677
very,0.34576271186440677
help,0.3423728813559322
kind,0.3423728813559322
stuff,0.3423728813559322
wall,0.3423728813559322
yep,0.3423728813559322
hat,0.3389830508474576
keep,0.3389830508474576
read,0.3389830508474576
almost,0.33559322033898303
bus,0.33559322033898303
our,0.33559322033898303
playing,0.33559322033898303
blue,0.33220338983050846
box,0.33220338983050846
hard,0.33220338983050846
Ma,0.33220338983050846
really,0.33220338983050846
bring,0.3288135593220339
buy,0.3288135593220339
close,0.3288135593220339
girl,0.3288135593220339
mom,0.3288135593220339
much,0.3288135593220339
pull,0.3288135593220339
room,0.3288135593220339
alright,0.3254237288135593
food,0.3254237288135593
long,0.3254237288135593
milk,0.3254237288135593
nope,0.3254237288135593
place,0.3254237288135593
please,0.3254237288135593
same,0.3254237288135593
six,0.3254237288135593
use,0.3254237288135593
bye,0.3220338983050847
catch,0.3220338983050847
making,0.3220338983050847
Mommy,0.3220338983050847
ones,0.3220338983050847
ten,0.3220338983050847
couldn't,0.31864406779661014
gone,0.31864406779661014
talk,0.31864406779661014
work,0.31864406779661014
kids,0.3152542372881356
toys,0.3152542372881356
who's,0.3152542372881356
yet,0.3152542372881356
bad,0.31186440677966104
behind,0.31186440677966104
green,0.31186440677966104
somebody,0.31186440677966104
table,0.31186440677966104
thought,0.31186440677966104
am,0.30847457627118646
last,0.30847457627118646
while,0.30847457627118646
enough,0.3050847457627119
isn't,0.3050847457627119
