target_child_id,log_mtld_t1,log_mtld_t2,age_t1,age_diff,log_transcript_length_t1,log_transcript_length_t2,mlu_m_t1,mlu_m_t2,log_freq_t1,mtld_resid,mlu_resid
2521,2.1017091956176257,2.563535629934074,614.936994907493,272.749775970759,5.10594547390058,5.4510384535657,1.1518,2.5437,9.388659624060077,-0.2339218169186239,0.4337838506371918
2567,1.890850371872286,2.6784930466450954,630.749481919547,260.937285673217,4.90527477843843,6.684611727667927,1.6774,2.8542,10.320474332493209,0.049286964292635904,0.06008659472296474
2576,1.5686159179138452,2.2680417957484496,601.312006098688,238.499804102754,2.9444389791664403,4.787491742782046,1,1.7162,9.116139576577355,-0.34254298853614173,-0.15671904568119266
2585,1.926933106953316,2.9616038358875487,601.312006098688,254.93729060145,4.219507705176107,5.236441962829949,1.1538,2.0619,8.386721648006729,0.09839115012294197,-0.11389187312424065
2588,1.9900349539642512,3.2947550005083195,615.749494240128,265.499781925707,4.663439094112067,6.1779441140506,1.4691,3.1543,7.986456993139665,0.3381432296737339,0.37185441076062986
2591,2.272606513539203,2.2530356133515435,637.749476169942,197.06233813836,3.044522437723423,4.859812404361672,1.0769,1.5055,NA,NA,NA
2600,2.3035206926256797,2.6113524240276127,603.312004455944,233.499808209614,4.394449154672439,5.332718793265369,1.0758,1.85,7.961221372652972,-0.5121786810835913,-0.1621914978655976
2618,2.2062174436967834,2.8426403550749724,669.624449988706,91.31242499846,6.169610732491456,7.534762657037537,1.447,2.6266,7.6570261154454675,0.09382401926564965,0.6563609645423196
2964,2.8044771528819843,3.212662755734386,669.624449988706,121.749899997947,9.65046452256919,9.556692215591841,2.90957,3.639666666666667,7.995725965817105,0.21225534091328946,-0.1963456864641051
3012,2.852338685738325,3.0437747914143753,694.405679634079,117.95728947673,9.067047202149707,8.642944396721798,NA,NA,8.71863745691169,0.18279518827947472,NA
3167,2.1071230108814145,2.548736459601612,682.304439573708,77.3407698077305,9.94136120496421,8.422003004412488,1.732675,2.5741,6.840508795828382,0.12828438059892466,0.46056638065248867
3617,1.7639237940361272,1.9061682732655225,675.010809200861,152.813510846779,8.24564690087386,8.940367233305174,1.6537,1.98135,8.899768718090009,-0.39570385826302235,-0.4029385444123177
3633,2.6785642506997864,2.954603336794531,668.47672365869,164.619814280716,8.790421306897867,8.860641041773876,3.0133272727272726,3.5659666666666667,8.628685810739977,0.027172201000774443,-0.5549341705114501
3643,2.3057826057924995,2.6713490870204413,678.635806223387,140.009354697097,8.937349848267392,9.76249985923515,1.9946,3.4206250000000002,7.745506969900952,-0.09558321121880864,0.49211913705251176
3658,2.618116346433694,2.7792940869912424,675.975635248206,161.804926621648,10.0841827875855,10.216544931319138,3.6397666666666666,4.833961111111111,7.456575798023343,-0.19201280174308533,-0.2610364062503052
3670,2.417017079324407,2.731962276462394,672.005698032814,149.500571648745,8.193123721512068,9.001222992395064,2.1397399999999998,3.1810555555555555,8.702116802889012,-0.05165164763844299,0.17019485895587216
3679,1.911924253813738,2.2950729912180434,669.763338763516,157.838254194339,8.185071477532283,9.066008001086264,1.5736222222222223,2.3289181818181817,8.160726218706811,-0.21959828081271748,-0.08554195132761944
3694,2.5560339938035854,2.8162282206426292,700.061924988193,115.999904720836,5.697093486505405,8.316055720364643,1.6289,2.3800666666666666,8.42246330868668,-0.15150176093770007,-0.06467648099342993
3841,3.080406300642412,3.290736917522151,669.405700168381,173.697773996044,6.658011045870748,7.791935956938058,2.61285,3.5126749999999998,10.297681268662721,0.1331765352860832,-0.027601645502974392
3951,1.9752001852989034,2.375370211883232,697.056719123254,120.481671872968,9.337325383730672,9.107532151994501,2.2914162162162164,2.933491666666667,7.932663435032241,0.026403416745563568,-0.15824717668288368
4580,1.99036453278856,2.1932293683434856,704.843171061008,113.418656841003,6.577861357721047,7.393263094763838,1.3045,1.4343599999999999,8.04816594925259,-0.24066463853667663,-0.4437939022662041
4585,2.5511650047688725,2.67499630991882,674.405696061521,145.143630782973,7.739359202689098,8.236685322712457,2.470625,3.05932,9.467808146860184,-0.08886658672215919,-0.2061800567711347
4589,2.480787740445875,2.685287380352894,666.655702427155,150.806126131954,7.950149887652018,8.40737832540903,2.332325,3.26202,9.498701984187484,-0.051111763988870074,0.1607634941918441
4709,2.1571646008996557,2.7541425365238106,608.749499989733,243.499799995893,2.6390573296152584,4.804021044733257,1.0833,1.4923666666666666,NA,NA,NA
4711,1.6620816459195222,2.5501417878879282,608.749499989733,243.499799995893,4.3694478524670215,5.351858133476067,1.3958,1.7523,9.938731838716105,0.06174666065322931,-0.4846871135595223
4713,1.6691571471357232,2.4794100278432363,608.749499989733,243.499799995893,2.0794415416798357,5.303304908059076,1.5,2.9751,NA,NA,NA
4715,2.0255574904168165,3.631936645802949,608.749499989733,243.499799995893,3.332204510175204,5.521460917862246,1.1923,3.0439333333333334,NA,NA,NA
