word,Estimate,SE,t,n_know
a,-0.10197584677155945,0.11332093934973514,-0.8998852935452463,64
about,-0.10817911138692222,0.0988078137723302,-1.094843689550556,28
after,0.0757684080118872,0.1017765166285398,0.7444586484367898,15
again,0.044465985613657076,0.10694076306804819,0.415800152701011,37
ah,-0.005623416593431976,0.08725474586508664,-0.06444826052358124,33
air,0.023435298335879522,0.12619325115497682,0.18570960111883353,7
all,0.0573904417063295,0.10921496449799531,0.5254814847958215,44
all_gone,0.1500509750725797,0.10508645064323263,1.427881274456601,11
almost,0.012615014653958688,0.1440025840525261,0.08760269641659527,5
also,-0.05112231057769094,0.15955874444898568,-0.3203980499735997,4
an,-0.04557918297170815,0.09981044598163376,-0.45665744224903304,21
Ana,0.012272539691016167,0.30032124425620643,0.04086470712856519,1
Ana's,0.012272539691016167,0.30032124425620643,0.04086470712856519,1
and,-0.14805463287713352,0.09572178018986838,-1.5467183391644057,57
Anna,0.1173057471054186,0.1614614705388395,0.7265247040915607,5
another,0.2541184726897123,0.12090210901736499,2.1018531004551266,31
anotter,0.012272539691016167,0.30032124425620643,0.04086470712856519,1
anudder,0.012272539691016167,0.30032124425620643,0.04086470712856519,1
any,0.10409451565079846,0.10405653694724182,1.0003649814290465,19
apple,0.25907800840440826,0.10263232081344116,2.5243315785028835,22
are,-0.14731426997198083,0.09449656173149605,-1.5589378837990084,46
around,-0.026001106894577308,0.0966227076397637,-0.26909934041091726,16
as,-0.06538473605913334,0.12814767057399254,-0.5102296106223808,10
asleep,0.0738701197002546,0.12275266506607663,0.6017801703978565,9
at,-0.08473209214570045,0.10095208675309074,-0.8393297738652866,42
attach,0.012272539691016167,0.30032124425620643,0.04086470712856519,1
away,-0.11559398585467298,0.12220895142177066,-0.9458716772368995,35
awound,0.012272539691016167,0.30032124425620643,0.04086470712856519,1
ba,0.12613183157478838,0.1715103680820304,0.7354181148655791,4
baby,-0.09604700512483606,0.12919843339349782,-0.7434068866168607,34
back,0.19575686849391133,0.11572820207588808,1.6915225933048277,38
bad,4.705901228283181e-5,0.09765879821424459,4.818717119536266e-4,14
ball,0.18343718978538723,0.09348875138370508,1.9621311341779242,26
balloon,0.026608230761789947,0.10487947288359337,0.25370294138799354,13
balloons,0.020583586940782116,0.1605308235964007,0.1282220229090236,4
bang,0.12806897394163125,0.1171612140471062,1.0931004341602286,9
baseball,-0.07251536701012502,0.21402333151228944,-0.33881991508930936,2
bat,0.009647885683452213,0.15529432382202424,0.06212645411630895,4
batteries,0.012272539691016167,0.30032124425620643,0.04086470712856519,1
be,-0.07585330884601815,0.13003901891366335,-0.5833119126835258,33
because,0.03291051704858956,0.10217330377089341,0.32210485355730406,29
bed,-0.04880136838092788,0.09461230091683963,-0.5158036313250884,31
beep,0.12093766466133486,0.1126473940800919,1.0735948722910413,10
before,0.021349679230628547,0.16235929437656973,0.13149650171003419,6
Bert,0.012272539691016167,0.30032124425620643,0.04086470712856519,1
better,0.0898046080087285,0.10414552384663583,0.8622992586889697,22
big,-0.005964411702958712,0.13149378644556659,-0.04535888625754762,38
bigger,0.07748442202772239,0.10276192881377581,0.7540187589135167,18
bird,0.008596388083123501,0.11184561423109189,0.07685941145051887,16
bit,0.1260687490647158,0.10909760668111321,1.1555592546884037,29
bite,0.0791666058622999,0.10518251790354875,0.7526593529059157,14
blocks,-0.05510777552356436,0.12878735707789396,-0.42789740215131317,6
blow,0.08333824601651954,0.10507700647293017,0.7931159138796846,13
blue,0.2165326175394107,0.11511963015457148,1.8809356601360836,32
bo,0.012272539691016167,0.30032124425620643,0.04086470712856519,1
boat,0.10951172651434106,0.08826366796092959,1.2407339174122816,18
bong,0.012272539691016167,0.30032124425620643,0.04086470712856519,1
bonk,0.012272539691016167,0.30032124425620643,0.04086470712856519,1
boo,0.06480584889732943,0.1630315905389653,0.3975048558570036,4
book,0.11384178467820255,0.10177846870811445,1.118525225651448,30
books,0.14028842670500266,0.09991345599992822,1.4040994308624801,15
boom,0.017803632265773587,0.12676968531346128,0.1404407703762208,7
bottle,0.11702533091583446,0.11541116687203984,1.0139862033072093,11
box,0.1047954626606338,0.1130167146794165,0.927256317420807,21
boy,0.1090909778676837,0.1087408278447706,1.003220041909309,28
bring,0.0487234616338366,0.10793462342888385,0.45141642307150487,15
broke,0.04864907566158136,0.11121151555146025,0.4374463869172816,14
broken,0.09740238602321691,0.1117810317341739,0.8713677491799252,22
brought,0.10458298063802005,0.14348772497465728,0.7288636059739008,5
bu,-0.06362418356053894,0.21410548282522737,-0.2971627943431736,2
bubbles,0.05169461468681553,0.16549071119601086,0.31237169937343057,4
buh,0.012272539691016167,0.30032124425620643,0.04086470712856519,1
building,0.10996492226256036,0.12819546171598617,0.8577910699068652,7
but,-0.11859923363187021,0.10321718138735106,-1.149026083039351,26
button,-0.028075175468109916,0.11619096342089319,-0.24162959529313535,9
buy,0.04996690913846131,0.11086507224871649,0.45070019010464124,18
bwoke,0.012272539691016167,0.30032124425620643,0.04086470712856519,1
bwush,0.012272539691016167,0.30032124425620643,0.04086470712856519,1
by,-0.048353168548027785,0.09885191422164877,-0.48914751857620925,21
byebye,0.10339752425339646,0.11162036705848206,0.9263320572958038,9
ca,-0.03626663423115864,0.21876587506668405,-0.16577829709548564,2
cake,0.18338338894827225,0.11489296616598334,1.5961237233908845,18
call,0.0054288371394814955,0.12644362565538897,0.04293484239590943,9
called,-0.012259188261917915,0.10434280974127956,-0.117489535621236,16
can,-0.14638663345506034,0.08923157191603955,-1.640525100160732,46
can't,-0.01435760013362636,0.09796591787180822,-0.14655709297200456,38
car,0.003139013657843952,0.10064364322369268,0.031189388194812404,38
carry,0.032173668173060374,0.11544897435909204,0.2786830143071477,8
cars,0.027921959445631583,0.10359727654073594,0.26952406837309345,11
cart,-0.10276008970476692,0.177657782206956,-0.5784159209252104,3
catch,0.1381199364424706,0.10908720620421992,1.2661423942226468,18
cause,-0.07349054118360579,0.14059795292598798,-0.5226999373333114,5
chair,0.04522446287927171,0.10627905725614531,0.4255256307954945,19
chuga+chuga,0.012272539691016167,0.30032124425620643,0.04086470712856519,1
chugga_chugga,0.012272539691016167,0.30032124425620643,0.04086470712856519,1
Cindy,0.012272539691016167,0.30032124425620643,0.04086470712856519,1
Cinny,0.012272539691016167,0.30032124425620643,0.04086470712856519,1
clock,0.08280590804488762,0.12721104028242436,0.6509333455732159,8
close,-0.033375148675572563,0.1053762204874812,-0.31672372116949826,16
coffee,0.10946642751144946,0.11636784309063912,0.9406931039031622,11
cold,0.09734253110837068,0.10842269663830084,0.897805848097528,20
color,0.10898233038192653,0.10644320821782723,1.0238542430899227,21
come,0.02580337075302266,0.09148930335365582,0.282037022987033,48
comes,-0.03153597276685686,0.1216084396485069,-0.2593238829312128,10
coming,0.19418095324173593,0.10429722970039473,1.8618035570028282,28
cook,0.10881325454017123,0.12217499799824424,0.8906343877471147,8
cover,0.12916697658934234,0.1394590107867316,0.9262002925495549,5
Cricter,0.012272539691016167,0.30032124425620643,0.04086470712856519,1
crying,0.143111705594806,0.10274110608663538,1.3929352237470416,14
cup,0.1580197152810046,0.12396996330348559,1.2746613056112897,15
cut,-0.046122069357902494,0.11053123607217599,-0.41727633741275777,20
cwash,0.012272539691016167,0.30032124425620643,0.04086470712856519,1
da,-0.12411802365351457,0.10665388568012307,-1.1637459138223059,10
dad,0.061318443843233664,0.18287565684667362,0.3353012910550703,3
daddy,-0.12064276587762893,0.07941480006925987,-1.5191471334362485,22
daddy's,-0.04851449612674805,0.11348939548705302,-0.4274804347890163,9
dark,0.00296211550749166,0.10990780037354225,0.02695091246867243,11
das,-0.06362418356053894,0.21410548282522737,-0.2971627943431736,2
dat,0.06304346627602267,0.11599496175578354,0.5435017635399954,8
dat's,0.03118832313412335,0.17714980775744066,0.17605620648952341,3
de,-0.02488371454331932,0.12514983970184723,-0.198831373676558,7
dem,0.012272539691016167,0.30032124425620643,0.04086470712856519,1
den,0.007906579035989696,0.17756036739851433,0.04452896303286119,3
dere,0.02401369320172563,0.14173072839135076,0.1694318054685951,5
dere's,-0.06838755938318532,0.17750813107767202,-0.38526437616123094,3
dese,-0.06362418356053894,0.21410548282522737,-0.2971627943431736,2
dey,-0.0657136637290801,0.17596829905348257,-0.37344035307807083,3
di,-0.06838755938318532,0.17750813107767202,-0.38526437616123094,3
did,0.20727983911050432,0.10494720590769019,1.9750867811842863,38
didn't,0.02555679644302913,0.08892973917685208,0.2873818891136636,24
different,-0.04360198734315185,0.11475903271119733,-0.37994383808445514,9
dinner,0.07030622668033713,0.10089191781369423,0.6968469645919878,16
dirty,0.11968162724298627,0.11206037448199184,1.06801023819726,17
dis,0.0077545678094165385,0.12939124987905648,0.05993116085256788,6
do,-0.025162394987535586,0.09852091428253529,-0.25540155783954294,55
does,0.045967678579247544,0.10419013779934332,0.4411903040936113,23
doesn't,0.02782585870293753,0.09753678208392699,0.2852857979156453,25
dog,0.101488418724097,0.11333673216031645,0.8954591930579061,27
dog's,0.01974235460850215,0.1850656714067725,0.1066775618537522,3
doing,0.09093022605976558,0.09550576896893641,0.9520914499870784,27
dolly,0.3077520173162591,0.10081205904665912,3.052730201392092,15
don,0.13127802535425492,0.22379348098349142,0.5866034380328483,2
don't,-0.04667559621357196,0.09876189779154998,-0.47260732384959797,54
doo,-0.11194114990715723,0.1557994633759583,-0.7184950928684076,4
doo+doo,0.012272539691016167,0.30032124425620643,0.04086470712856519,1
door,0.11321626855286133,0.11369042125676096,0.9958294401704363,27
dose,-0.010871413341660665,0.15682652229442406,-0.06932126774609473,4
down,0.0018858270473539952,0.09615656550236425,0.019612046639785895,50
drink,0.18198777749467,0.09384152974091778,1.9393095785747592,22
drive,-0.024218899665433946,0.10250190316990275,-0.23627756086918444,15
drum,0.08976238104959515,0.16057790120373705,0.5589958542035431,4
duck,0.05310847743300041,0.1066866361229408,0.49779878120630433,13
duh,-0.029977380341119787,0.2157944369982354,-0.13891637225738548,2
eat,0.05702894075908299,0.1190021167883834,0.47922627175191534,37
eating,0.12969637700295528,0.10461816952550977,1.2397117784720035,23
eee,0.08744739296706247,0.2165835304799064,0.40375827641786194,2
eh,-0.09617179918927334,0.1125609826128172,-0.85439729608688,9
eight,0.0033334272681945307,0.10210502152365795,0.032647045350479346,17
either,0.02438155313932891,0.165566280149467,0.14726158682382767,4
elephant,0.09692142893549739,0.10191361539004824,0.9510155101902279,20
Ernie,-0.029977380341119787,0.2157944369982354,-0.13891637225738548,2
exercises,0.012272539691016167,0.30032124425620643,0.04086470712856519,1
eye,0.09918873688317871,0.1122095240927766,0.8839600531695323,15
eyes,0.09277683898611379,0.1021205912598607,0.9085027597424463,24
face,0.12227753524475601,0.10517078155811063,1.1626569036875825,18
fall,0.16647519197636673,0.09889344540492767,1.6833794322234383,20
fast,0.19906964587172538,0.12246656802917308,1.6255019559648678,9
faster,-0.03903614944960598,0.1569055251562776,-0.24878760267190111,4
feet,0.040090826448270514,0.09950157804866186,0.40291648870798663,16
fell,0.0058313601538833625,0.10200159789314106,0.05716930199458653,17
fence,0.13407300686330775,0.1247440851810998,1.0747844811131886,7
find,0.10826952740241899,0.09954118300343591,1.0876857611656252,28
