word,mean_dist_wiki
the,0.22196103434155903
of,0.17210960780265555
in,0.17940857927940854
and,0.24166972042646567
to,0.198672120675327
a,0.2121764048795262
is,0.17375767360744557
was,0.1666539842395528
on,0.18329975164132103
for,0.18894114262303702
by,0.16731589214673798
that,0.2505492721251343
it,0.22671320026470962
with,0.1940627540949386
from,0.16616025636854279
at,0.16418079325150753
he,0.19918073579187345
this,0.19060501861276047
be,0.19998072884822293
i,0.1900197501310288
an,0.15724312013908623
his,0.19659146534356148
not,0.20604853710996973
are,0.1742327947606779
or,0.17726360059386032
talk,0.18590461827278998
which,0.23508936270200806
also,0.21347871236780003
has,0.16967542946891748
were,0.15433628984901393
but,0.2612037066817445
have,0.21344547470345743
one,0.2246418817216746
new,0.15654706016639466
first,0.19258539102945418
page,0.1632031668636308
no,0.1610285384133552
you,0.24544427944106864
they,0.24103594022204722
had,0.1753981704480684
who,0.19698386354947378
all,0.19548555352124888
their,0.20446092532996243
there,0.19385314068549453
been,0.16909812955207293
made,0.1544314048615057
its,0.15684658301317753
people,0.14965696897287373
may,0.17888419675222553
after,0.18840925117261803
other,0.2081211856184878
should,0.18054638175423166
two,0.19590908379997163
score,0.1413712992128716
her,0.21935279362159216
can,0.2119518499568484
more,0.19251713723684694
she,0.20917669198776465
about,0.1930161945595306
when,0.25189864235650183
time,0.2124366131831617
do,0.185092733307107
some,0.2211960141554758
up,0.21403640401725915
see,0.17901090907626632
years,0.154796147318464
into,0.16581988920295967
school,0.1520251068006103
so,0.2566360843774514
out,0.22092268454484557
over,0.18270290206418865
then,0.22643324184292227
where,0.19818398509723847
will,0.20479465635382704
de,0.12741910025134034
what,0.24466473278565687
any,0.1895985260615961
these,0.20033441027702925
him,0.23237003920893928
many,0.20586838932557167
like,0.24449521067633592
three,0.19012056468186878
well,0.2268566079892334
use,0.15632817062377385
under,0.1240043197892852
them,0.2453987733381996
we,0.22980600927992317
while,0.2276072214242928
please,0.1568598377062858
my,0.21965937013161274
second,0.1759567202870098
name,0.15594083117534377
just,0.26685766398541994
work,0.18592281936514457
high,0.14520597180477324
through,0.16653915484715384
now,0.19476647749435294
because,0.21971666845251125
football,0.1381501754536798
music,0.18164877196831153
john,0.17312110274067374
could,0.21151111496069816
number,0.16269842112772515
me,0.2325661142143546
game,0.18791292587185257
your,0.21643237383467592
house,0.17472533496839404
left,0.15117234567757531
very,0.21546656081794371
here,0.21819572998656975
don,0.19758037560263883
living,0.14749225953155137
day,0.18849965509481512
place,0.1602576197720767
party,0.15053597573233063
keep,0.19442004344505068
four,0.17822013335939546
class,0.10939569554186099
how,0.2233432744976043
called,0.1834623885897145
did,0.177985921740306
found,0.15707789602434752
long,0.1805550128560304
back,0.2213817410174025
way,0.23225489494016668
does,0.18715546801204264
end,0.18433542738729647
make,0.21207995388444123
p,0.12527743366580663
another,0.23507430116894706
those,0.19209409857689932
good,0.21815133347326449
much,0.21751916754838221
show,0.2016824970583707
still,0.22296671611501517
think,0.2382018875475343
right,0.17251385666217256
song,0.2138714786298613
home,0.18374322286406486
book,0.18514445480488256
station,0.13854812445295045
old,0.18532577294576444
own,0.20234848382592124
point,0.17524037825979188
around,0.20246150915627575
river,0.1591264616771919
top,0.17484620016321575
off,0.21092355824052375
said,0.20866515611716688
air,0.1488651511612135
park,0.15787641032204713
small,0.18270846300251836
different,0.1894398726500288
get,0.251772002712131
closed,0.12695796980346827
player,0.1572802130110212
again,0.22773035931795285
white,0.1857743921825947
five,0.18033939490356363
road,0.15353398296358556
took,0.1451889033493133
down,0.2096255601911351
man,0.22227991296798946
black,0.18318080203435308
building,0.16671402415284037
la,0.14243092884412023
take,0.20553369643616043
having,0.19981577754359175
ship,0.15855204662134556
record,0.15411356777927557
cup,0.14867576643172892
side,0.18539140574061785
know,0.2380506057684254
water,0.1786386775830489
field,0.14266375237915785
co,0.13204116748037392
video,0.18885340826250877
need,0.2123764945896639
go,0.22844079707387402
find,0.21129075500240535
play,0.18107236665733087
o,0.1553162202452245
radio,0.15755585379321696
am,0.15225561673713875
next,0.20358443333472276
