word,Estimate,SE,t,n_know
a,-0.005973039810269592,0.10654764314902988,-0.0560598022981607,64
about,-0.1283694141551672,0.08937636410899384,-1.4362792158184194,28
after,0.054773489531323605,0.09278236817502174,0.5903437324212357,15
again,0.042359616275477366,0.09717835343392753,0.43589559586722226,37
ah,-0.03672024429668186,0.07956030087591524,-0.46153978670784457,33
air,-0.015497145013544678,0.11512032149309477,-0.13461693654559712,7
all,0.07947814486277753,0.0991451582149937,0.8016341523247281,44
all_gone,0.04963854304403102,0.10046367276660617,0.49409444903880445,11
almost,-0.06653981902380139,0.13212624567074846,-0.5036078841566047,5
also,-0.06945908134677287,0.14494966386400715,-0.4791944975597866,4
an,-0.0700770624777825,0.09065884016692453,-0.7729755018788452,21
Ana,3.3009312083198537e-4,0.27295992637209104,0.001209309825142655,1
Ana's,3.3009312083198537e-4,0.27295992637209104,0.001209309825142655,1
and,-0.09569184717375732,0.08881770687317145,-1.0773960569642032,57
Anna,0.08949624158832223,0.1470681080893331,0.6085360228742442,5
another,0.18209109202174878,0.11290323397107965,1.612806698419212,31
anotter,3.3009312083198537e-4,0.27295992637209104,0.001209309825142655,1
anudder,3.3009312083198537e-4,0.27295992637209104,0.001209309825142655,1
any,0.05499684746571071,0.09586119341207511,0.5737133610396202,19
apple,0.19765889683300855,0.09604051575805843,2.058078252421543,22
are,-0.10754407680029444,0.08702782185906933,-1.2357436335066345,46
around,-0.1076386976329803,0.08911348052705287,-1.2078834425090554,16
as,-0.06476930043764244,0.11641972187106663,-0.5563430267371161,10
asleep,0.03384959188527242,0.1122390475101817,0.30158481059990977,9
at,-0.10733102932202258,0.0914706100009318,-1.1733936104824185,42
attach,3.3009312083198537e-4,0.27295992637209104,0.001209309825142655,1
away,-0.12954170958742975,0.11073589699460741,-1.1698258026820167,35
awound,3.3009312083198537e-4,0.27295992637209104,0.001209309825142655,1
ba,0.06819764093612454,0.15695967729245286,0.43449147011850864,4
baby,-0.16600701286096825,0.11740575971467258,-1.4139597006519078,34
back,0.23323671875564578,0.10396175183753918,2.2434858458341904,38
bad,-0.009847543577125115,0.08878203275333435,-0.11091820351179417,14
ball,0.1029421835930715,0.08930489912069886,1.1527047743925152,26
balloon,-0.009771235476222176,0.09579537866222035,-0.10200111542620524,13
balloons,-0.03608088225223581,0.1465427014352337,-0.24621411983579533,4
bang,0.08044556559700446,0.10765682327845452,0.7472407521159331,9
baseball,-0.11954872311621548,0.19449296966209584,-0.6146686089677923,2
bat,-0.07194435888863408,0.1423428002338066,-0.5054302625103704,4
batteries,3.3009312083198537e-4,0.27295992637209104,0.001209309825142655,1
be,-0.137756725106586,0.11827917523623069,-1.164674380181077,33
because,0.040742035087370385,0.09281801898992086,0.43894532043174267,29
bed,-0.03236007254957192,0.08616215996072726,-0.3755717424484443,31
beep,0.021835807097739725,0.1064324948557388,0.2051610941502077,10
before,0.029840996768943726,0.14754651218946954,0.20224806622757627,6
Bert,3.3009312083198537e-4,0.27295992637209104,0.001209309825142655,1
better,0.07002573283368788,0.09491140330057611,0.7378010481198187,22
big,-0.02867365642984773,0.11959351185192535,-0.2397592978568102,38
