word,mean_dist
you,0.37643848182488576
the,0.37642072570598545
a,0.3764441792862362
it,0.3764216859503202
and,0.37643651648404663
to,0.3763800892365096
that,0.376465932920886
what,0.3764599153443789
is,0.3764526079779656
oh,0.37644659053529367
do,0.37647162257063777
in,0.3764444490640189
on,0.37641505645200374
your,0.37641605646490706
that's,0.37641212267161495
we,0.37645928321019295
no,0.3764747334178689
are,0.3763687881482381
there,0.37644600691177205
this,0.3764599453347783
don't,0.37647206079754963
one,0.3764477382305995
it's,0.37643467662561303
go,0.37644284738842304
he,0.37640594187282617
can,0.3764471432802002
okay,0.37613277865235667
have,0.3764207350445156
of,0.37645577362092875
like,0.37641132764203217
right,0.3764478570250914
yeah,0.3764655417774441
see,0.3764313874335452
here,0.37647665913888867
not,0.3764654382399731
want,0.37644223797144394
put,0.37642269753064594
with,0.3764317143192481
look,0.37643028426581365
for,0.3764542359668815
now,0.3764558521399077
did,0.3764617925230764
up,0.37644287103960916
get,0.37644751149814787
me,0.3764327647783805
what's,0.3764709554979093
well,0.37646782863612355
think,0.3764551660875252
you're,0.37645525627582216
know,0.37645930658018983
they,0.3764096122966084
was,0.3764601738332892
yes,0.376439356121048
all,0.3764467215550847
going,0.37632238338098944
at,0.3764536211712849
got,0.3763694311920847
just,0.376438450504928
some,0.3764041087293493
come,0.3763980397265749
she,0.37642160997526125
then,0.3764411585110833
be,0.3764257585691808
good,0.37643734081082875
little,0.3764472795676796
so,0.3764540352264518
NA,0.3764294147582752
them,0.3764517758172012
gonna,-0.008778114309978918
out,0.3764604345405807
where,0.37645098404797855
but,0.3764563120871866
because,0.37646577890512783
down,0.3764430674731802
how,0.37644810709337173
say,0.37640618947773946
her,0.37646488385213517
when,0.37646051220284116
very,0.3764398106559605
there's,0.3764474729125981
my,0.3764409085266395
let's,0.37642233887083365
about,0.37647801128926267
isn't,0.37645546327702445
back,0.3764544795100416
big,0.3764679680202593
he's,0.3764783611960415
his,0.3764556628892772
does,0.3764733296486925
doing,0.3764682544326826
has,0.37540596970459034
why,0.37645590933533507
didn't,0.3764689781172852
more,0.37643665424735856
him,0.3764419610770323
over,0.3764569808179382
off,0.37644890296005773
or,0.37646453823209625
nice,0.37642832290093453
too,0.3764318795276349
who,0.37644950610077194
two,0.3764399345104347
make,0.3763855902327092
hm,0.37641733549864614
can't,0.3764681147310443
eat,0.3764399516329329
take,0.3764536690146777
mhm,0.3763661706459921
play,0.37641933645809206
wanna,0.006364520802038152
where's,0.3764565855606884
were,0.3764726538861751
had,0.3764556414809918
those,0.3764359562846776
baby,0.3764772782566471
huh,-0.012220477325169662
these,0.37646289951894446
they're,0.37646883487981037
have_to,0.37640424040464776
said,0.37641345814015714
alright,0.3764436838578112
shall,0.37644857179156116
tell,0.3763148968202634
we'll,0.3764520938258711
other,0.3764469742538431
need,0.37642763434569326
again,0.37646367454479374
book,0.37644588595452644
will,0.37645287242162234
please,0.3764478944481012
bit,0.3764414554298009
time,0.3764369407798197
sit,0.37643619679087637
something,0.37641358135050507
really,0.3764716338666472
let,0.3764451898719442
boy,0.3764543507536062
an,0.37645483824873754
else,0.37635315830674904
who's,0.37644149981026176
she's,0.3764592549635381
from,0.3764774688226413
way,0.37644613708190594
could,0.3764118886402135
another,0.37644520812527255
give,0.37644979323618627
car,0.3764358737060618
done,0.376419282863986
girl,-0.018296845570302006
away,0.3764179552184011
today,0.37645299909348395
house,0.37619083847161916
any,0.3764224678514101
mm,0.37645591226630637
went,0.37643118627717964
darling,0.376451221335347
ah,0.37646594391562266
goes,0.37646266715698573
find,0.37644809969372817
better,0.37645943628249
um,0.003415235605595819
things,0.376458967717007
three,0.3764445640424176
read,0.3764356958479976
red,0.3764374469708415
uh,-0.028670094200999023
says,0.37641040504746603
gone,0.376361165118394
water,0.3764615889450541
turn,0.37645172819582273
dear,0.37633433691426205
which,0.3763772640011456
box,0.3764600628679413
called,0.37640023854176335
should,0.37642706570413537
blue,0.3764104052399274
here's,0.3763430588151522
thank,0.37643554291221215
been,0.37645020053170525
hey,0.3756288575121735
help,0.37638951401557247
into,0.37643701212849323
first,0.3764076641936004
hello,0.3764454313628564
try,0.3762103053449174
day,0.3764587825143886
still,0.37642408357439766
green,0.3764475597548212
much,0.37643313338606565
bed,0.3764380167193556
looks,0.37644537809356043
mean,0.3764454955572252
maybe,0.017190471701122843
might,0.3764573978444399
wait,-0.005637284674967386
color,0.3763998456829285
train,0.37645494732138707
ready,0.3764686921213094
watch,0.3764602768574861
home,0.3763534581248233
through,0.3764126603328773
ball,0.3763369405566396
coming,0.37647884720337443
round,0.3764506687811606
head,0.3764302112457502
honey,-0.015357391881447026
show,0.3758519282449572
around,0.3764443729669506
name,0.37556663740679264
minute,0.37643183918066797
getting,0.37646889195814637
open,0.3758115132051333
uhhuh,0.0011563707552714848
thing,0.3761787869383582
thank_you,0.37622340892083533
hold,-0.004408076218439395
man,0.37642491486076757
ya,-4.6428532436812236e-4
careful,0.37642802664364616
happened,0.37642934710187315
many,0.37647656486980846
school,-0.03461431268791857
wow,0.37642705930787035
chair,0.37644097877376387
door,0.37645163890278616
by,0.3763209940354749
yellow,0.3764632728315268
next,0.3763850376787714
cat,0.3764693003685422
hair,0.37643022694562517
morning,0.37643663062275223
work,0.3764367835341311
funny,0.376346749406708
pretty,-0.008900556582549403
after,0.37641939378514205
drink,0.37648149568758077
four,0.37643823009598487
hear,0.37644436145391436
stop,0.3764375588741203
milk,0.37646443378867367
looking,0.3764382851494143
keep,0.3763070122492268
piece,0.37639562130555226
long,-0.06991129601079143
table,0.3764562911714378
playing,0.37643076951588544
people,0.37636932580847265
hand,0.3763802019795303
top,0.37641967163458484
juice,0.3764552473033748
bear,0.3764615742948607
night,0.3763887097205131
made,0.37642168301564316
silly,0.3763826895426423
use,0.3762466783459194
mouth,0.3764134944198588
love,0.3764215158248452
eating,0.3764820690305693
their,0.04118954545923415
floor,0.37645398125444224
nose,0.37643397449245947
having,0.37644908095953705
five,0.3764160984696985
sleep,0.37643630989320237
hi,0.009229525257368903
outside,0.37642610884757605
leave,0.376415243039165
sorry,0.3764168732910407
tea,0.3764719674043985
picture,0.3764570351304134
room,0.02044705102460839
talk,-0.010594190134054545
dog,0.3763593635005432
came,0.3763904673100901
food,0.3764261236332901
hat,0.3764677437036924
new,0.3759674916499716
making,0.3764371668204907
orange,0.3764486583177122
story,-0.003236566615393644
toys,-0.041865504507474005
bring,0.37643339978101686
ones,0.3757754598437328
hands,0.37640432972544574
pick,0.376416682467455
hurt,0.37629039773174067
throw,0.3764514669004389
comes,0.37636547868218706
hot,0.376411681336915
push,0.3763549099977827
yet,0.3764420959457959
actually,0.37642554180924614
birthday,0.37629432035917515
bye,0.031203848478797775
must,0.3764048392206688
while,0.3763938833694245
truck,0.37647214489587866
move,0.37575175245880166
cup,0.3764426747964821
pull,0.37631605838161836
enough,0.37597988971315427
saw,0.37646287910560755
daddy,-0.012686878652324129
face,0.3764635401590455
stay,0.3763671458833291
finished,0.37646597279979954
matter,0.3764619903211166
wants,0.3763450436628328
fall,-0.013714758495943023
draw,-0.023034997772982038
cold,0.3759106646051564
paper,0.376390502076548
never,0.3760465615187867
old,0.37646415454189885
under,0.3763843965760062
fish,0.3761792897521612
ooh,0.3764832834370217
hard,0.3757704487199527
hungry,0.3758077167970137
inside,0.3764106443250251
feet,0.3764607323059761
apple,0.37644904362537845
whoops,0.3764442789518156
clean,0.3764185849138275
talking,0.3764174756380822
cheese,0.3763701197815629
call,0.3762921800760422
bus,0.37643964965284404
am,0.015219158302980056
wash,0.37644478545726756
shoes,0.3764824361479092
mommy,0.021991014498140754
tired,0.3764442749660514
bag,0.3763886407866029
putting,0.376467102997239
sing,0.03880034116304687
white,0.37645615851112946
animals,0.37639543197028014
different,0.3760909453412172
cut,0.3764170115062917
noise,0.37642804155397613
eyes,0.3764059652318367
found,0.37631427435610537
buy,0.37642409355564505
number,0.019116767547295486
probably,0.37641890622616897
trying,0.3764542325926581
cake,-0.04355697668164526
sitting,0.3764558289297932
tree,0.3759739146525101
breakfast,0.37644980868523786
side,0.37626599933200783
uhoh,0.01720337230982455
kiss,0.3764493982544287
fit,0.04391975606461926
walk,0.37643801328577076
stand,0.37642540252397566
left,0.3761593986020929
happy,0.007452607233886163
fire,0.3763610180778623
foot,0.3762039048020008
egg,0.016120637655642107
cow,-0.009869887756426025
six,0.3764285423961745
stuck,0.37643259530797096
money,0.37624815172253206
oops,0.3764522317675496
feel,0.37636495410242227
kitty,0.047982783413412645
horse,0.3764767625933378
seen,0.3763008159883057
end,0.3764057805583086
yep,-0.016400139603853465
finish,0.3763895226251364
dirty,0.37645516541528934
listen,0.3764543525538505
fun,4.498568525485307e-4
books,0.37629542670158234
write,-0.00809366166174926
wee,-0.016817234952133393
lovely,0.37646205181525516
touch,0.3764309926068524
dinner,0.376443195508734
wrong,-0.016750694745994558
bath,-0.038554743639094925
fell,0.3763954194198517
yours,0.37644901604447395
lunch,0.3764473545434376
close,-0.0705396856079845
elephant,0.3764216548475921
break,0.37632783378824725
small,0.3760587690314598
page,-0.02111007784895706
ask,0.376313706911647
real,-0.010162823381936852
light,-0.006017201942083488
lots_of,0.3763836552040902
tape,-0.006675406919079581
pieces,0.3763976216513997
took,-0.03852844892904573
bad,-0.011245492493941979
poor,0.37642700223065795
wanted,0.3764219695646023
somebody,0.37638721593868224
duck,0.3761202595757066
chocolate,0.3764600906133141
stick,0.37608890614287527
pink,0.37641472923289526
bird,0.37628904488625525
clothes,0.37639335971916515
mess,0.37643843369316016
teeth,0.3763204235946334
naughty,0.376438532853045
fix,0.005423911076410876
chicken,0.3763727423320953
party,0.3762688836384949
black,0.37641279800507127
window,0.3764170522061092
bread,0.3764567872021989
spoon,0.3764612864233307
bunny,-0.013847696851420092
bite,0.3763541851381871
wet,0.37635318631546916
pop,0.37644835500437873
build,-0.018297376923823896
beautiful,0.37637687340557596
front,0.3762972946854855
mind,0.3763068838573908
upstairs,0.37644707181639264
brush,0.37641032869462826
ride,0.37644690039531264
nothing,0.37598672687229656
broken,0.3758420896446588
seven,0.37642653687722943
shop,0.3764551125347952
letter,0.0148708483454476
bang,0.37594300832336947
week,0.37560705321413823
coffee,0.37645040567838267
quick,0.3762316553940048
ten,0.3763382619528746
whoa,0.01607085342242318
toy,0.3759463997910221
run,0.3763197214894106
behind,0.3764455735805082
jump,-0.012397227089600853
lady,0.3764737955149599
likes,0.37633050110032956
taking,0.3764333768070006
