term,estimate,std.error,statistic,p.value
(Intercept),0.023270855350053778,0.045204053861189426,0.5147957619357076,0.606975195377473
mean_dist,0.22830011362588573,0.052658671808296205,4.335470413249538,1.8355727241206887e-5
conc,0.18260784236726618,0.06136439379934153,2.975794773829016,0.00309660208420435
centrality,-0.17665394539454804,0.055736979736496,-3.169420844647541,0.0016428411196277755
is_verb,0.12515586146874902,0.04558896684415071,2.7453103268736863,0.006313260630510731
word_length,0.13883550430815578,0.053127025536672395,2.6132745604649132,0.009300259640777351
log_freq,-0.06829818833001951,0.07112506793507994,-0.9602548062570472,0.3374970974017081
