term,estimate,std.error,statistic,p.value
(Intercept),0.02317355738044419,0.045223753070763095,0.5124200405079995,0.6086350293764511
mean_dist,0.2265309495584688,0.052708689053928164,4.297791381733983,2.160800230499276e-5
conc,0.18318744726292394,0.06138866072619595,2.9840600054784003,0.003015929682158263
centrality,-0.1766400688986584,0.05575868474787975,-3.1679382269750405,0.00165103701623232
is_verb,0.12515229570008982,0.04560819446824695,2.7440747690028062,0.0063366310042380965
word_length,0.13971096053202056,0.053132749324750865,2.629469814898867,0.008875873002324739
log_freq,-0.06661887259276038,0.07108919162154861,-0.9371167553488794,0.34925423817655665
