target_child_id,words_in_norms_t1,total_words_t1,mean_log_word_freq_t1,log_density_t1,log_centrality_t1,log_total_words_t1,log_word_in_norms_t1,words_in_norms_t2,total_words_t2,mean_log_word_freq_t2,log_density_t2,log_centrality_t2,log_total_words_t2,log_word_in_norms_t2,delta_resid_group,age_t1,age_t2,mtld_diff,age_diff,log_mtld_t2,log_mtld_t1,log_num_trigrams_t1,log_num_trigrams_t2,mean_log_freq_trigrams_t1,mean_log_freq_trigrams_t2
2521,8,8,3.9027333333333334,6.16194770004503,-1.9212154934828651,2.0794415416798357,2.0794415416798357,23,23,4.45368125,6.873333318382345,-1.833155031050977,3.1354942159291497,3.1354942159291497,low,614.936994907493,887.686770878252,4.80149509777649,272.749775970759,2.563535629934074,2.1017091956176257,7.368970402194793,9.677026002747972,1.135413545782918,0.7999965282594446
2567,7,8,5.04122,6.876486083034654,-1.8006185349205932,2.0794415416798357,1.9459101490553132,44,47,4.994294594594595,7.080411029355196,-1.7662016020239588,3.8501476017100584,3.784189633918261,low,630.749481919547,891.686767592764,7.93813079299691,260.937285673217,2.6784930466450954,1.890850371872286,6.343880434126331,11.06333604067481,0.7074147348142277,0.7156940535680608
2576,1,1,NaN,6.368372955946181,-1.958008182955655,0,0,7,7,4.81756,7.027795563780237,-1.8368682876126488,1.9459101490553132,1.9459101490553132,low,601.312006098688,839.811810201442,4.86046511627907,238.499804102754,2.2680417957484496,1.5686159179138452,2.1972245773362196,7.975564658495202,1.4973647252921403,0.9550430973271966
2585,2,2,3.8396,7.379062626460888,-1.7852550767437354,0.6931471805599453,0.6931471805599453,12,12,4.970725,7.263166634963541,-1.7843287247265187,2.4849066497880004,2.4849066497880004,high,601.312006098688,856.249296700138,12.4605341502013,254.93729060145,2.9616038358875487,1.926933106953316,2.1972245773362196,9.13399913871946,2.005427950249106,0.9318315569653766
2588,2,3,NaN,7.749983038773581,-1.7142822532938904,1.0986122886681098,0.6931471805599453,32,35,5.27236,7.220819399861423,-1.7385853071587696,3.5553480614894135,3.4657359027997265,high,615.749494240128,881.249276165835,19.6550159530718,265.499781925707,3.2947550005083195,1.9900349539642512,6.519147287940395,10.892303576214507,0.9654085698036353,0.7563413810932245
2600,2,2,3.09155,6.420996057524011,-1.9081113166685417,0.6931471805599453,0.6931471805599453,15,15,4.929277777777778,6.979936798083231,-1.7799061930751094,2.70805020110221,2.70805020110221,low,603.312004455944,836.811812665558,3.60809460282627,233.499808209614,2.6113524240276127,2.3035206926256797,5.5053315359323625,9.114600099695346,1.081448646093406,0.723361151850932
2618,26,30,3.441866666666667,6.945972030409533,-1.851255825878842,3.4011973816621555,3.258096538021482,101,116,4.31133023255814,6.8713081551924295,-1.8280186876631586,4.7535901911063645,4.61512051684126,high,669.624449988706,760.936874987166,8.07971613614441,91.31242499846,2.8426403550749724,2.2062174436967834,8.80941494391005,11.270535381710154,0.7442788008154346,0.6258771968187339
2964,353,384,3.8571474025974024,6.918574573824245,-1.8360555422720155,5.950642552587727,5.8664680569332965,543,596,3.7926989406779663,6.913245259452192,-1.8384033173742464,6.39024066706535,6.297109319933935,high,669.624449988706,791.374349986653,8.32671777107111,121.749899997947,3.212662755734386,2.8044771528819843,12.429616116865711,12.811216138741559,0.5059605363870389,0.4555024287133986
3012,228,243,4.396579894179895,6.954272712472579,-1.8125626014492195,5.493061443340548,5.429345628954441,322,346,4.261903370786517,6.988620731475828,-1.817288635264517,5.846438775057725,5.7745515455444085,high,694.405679634079,812.362969110809,3.65604545166478,117.95728947673,3.0437747914143753,2.852338685738325,12.68737161653782,12.904739564267844,0.49606884849597693,0.45606043563103765
3167,369,427,3.565927631578947,6.8529678290903435,-1.860226788901839,6.056784013228625,5.910796644040527,445,511,3.57708253968254,6.851949100521491,-1.8591140102221173,6.236369590203704,6.09807428216624,high,682.304439573708,759.645209381438,4.56638642172191,77.3407698077305,2.548736459601612,2.1071230108814145,11.829326181003843,12.072929748859895,0.5499530830548014,0.5289283045859626
