target_child_id,mean_density_t1,var_dist_t1,mean_dist_t1,max_dist_t1,min_dist_t1,n_t1_in_vocab_measures
2521,2.5823538611069094e-4,103.52698453046781,11.940574078596038,54.46610215570814,0,68
2567,2.989928872240406e-4,124.96884190845871,12.635996339219146,48.69962616684331,0.011751465873238942,37
2576,2.480459354172566e-4,191.7503261111008,18.936743552354486,45.32449827873542,0.5163821718405615,8
2585,2.0142646187632028e-4,174.31045290533666,18.231625222524944,55.171691544835525,0.04840535419893843,28
2588,2.499919360672127e-4,121.79881648826827,13.33092999082853,55.11362039214568,0.0015861494909437113,37
2591,5.141969160980701e-4,124.60347365819018,13.038101048981911,35.01869185764592,0.0025079712061280013,9
2600,2.3732958781241454e-4,113.61497514169425,13.292570734551498,55.810357854670556,0.0015861494909437113,37
2618,2.1371723469245632e-4,151.4706263898534,16.116160425665107,60.42003061304541,0.001782894270230484,129
2964,1.8402715544426455e-4,145.58207003195224,14.959489637782227,66.2948167271756,0,1936
3012,1.9367347990084373e-4,101.95640346088646,11.677624241037696,64.58312683515793,0,1483
3167,1.785108061977724e-4,143.8719247600072,15.03371572243885,68.71826095578132,0,2212
3617,2.0553321434743635e-4,158.48123238315995,15.618833190975035,64.01282905624757,0,401
3633,1.8029500919086795e-4,133.7473116633416,13.830895022761972,68.91913833131639,0,1452
3643,0.00017241650007719862,169.59843964706963,17.432515323079677,69.06917262415404,0,1520
3658,1.780031536792734e-4,154.53633234904922,15.707459472612763,67.8069214784465,0,2953
3670,1.8644433034029323e-4,154.24295646015156,15.291495906416436,67.06856501693575,0,801
3679,1.843579771597074e-4,151.05115208894236,15.184310306207585,67.92312934820643,0,720
3694,2.3697094806344261e-4,170.2903832406506,17.46553748761311,59.2414066065245,0.0015861494909437113,92
3841,2.2025546193597562e-4,126.23760357700898,13.52390802664316,63.846766936444126,0,249
3951,1.756263402368123e-4,135.24162337709836,14.669804724799972,69.91164198501882,0,1648
4580,2.2763390451223373e-4,119.10380616164406,12.687042748483767,56.80729666343029,0,154
4585,2.1423012442694852e-4,177.04734397116994,15.642004661317852,65.63734239973957,0,422
4589,1.9068751574916387e-4,152.69243060615136,14.57278862947642,68.53600724822209,0,508
4709,2.454204113145633e-4,191.2319599637952,17.321294716985324,53.767213586842544,0.20108166867308208,9
4711,7.045940242130372e-4,20.412583727408276,5.824587192581858,19.113001763571976,0.07330218293346058,16
4713,3.725673898805614e-4,77.02199214687087,14.933639318443005,29.361726549381252,1.8143324581989102,5
4715,2.7988563842973004e-4,143.06918501410354,15.495908294070816,54.3005436643251,0.07330218293346058,15
4717,2.5333842368974977e-4,174.84769820370576,11.678984922047068,52.16619576195947,0.07330218293346058,10
4719,8.338149043550671e-4,98.07639928020056,12.750788826096034,31.063072220814124,0.6368603091462013,8
4721,9.030915551539821e-4,29.610643429188965,7.266832347795939,19.052093040169876,0.004833145434611996,18
4723,1.8791415853164215e-4,206.68948755039037,22.970614574359892,52.24179074312566,3.424064769922942,5
4727,3.807915375281114e-4,76.7266161642654,11.393547541738275,33.403521144595004,0.21485575844815086,15
4729,0.0019110453210006433,5.348911214805806,3.0154555947162813,7.827475193035218,0.11404618059408966,10
4731,4.982111953963191e-4,30.449086231837285,7.4962324064631165,27.99112354169651,0.017927477051349783,36
4733,3.0684724259530995e-4,204.8124366926274,18.04966274809342,54.3005436643251,0.15663779986028487,10
4735,4.3798626427906626e-4,69.27474554764262,6.8904046279898195,38.51076137049853,0.0025079712061280013,22
4737,4.785195948067979e-4,72.86559529093238,9.218293918931403,27.636551107088952,0.16559864392062829,11
4739,6.465452598081224e-4,31.7345947521492,6.416417698841928,16.96838506737786,0.07330218293346058,19
4741,2.6099304953822216e-4,119.09290740500204,11.413656451916271,53.99115030237205,0.014338988648157747,42
4744,7.956474888144025e-4,99.72981362258868,9.331972710340601,27.233329874891574,0.28067433030215594,7
4748,6.473771193918262e-4,30.266320191009353,6.649068548754622,20.062756945623356,0.07330218293346058,15
4750,3.175796836411057e-4,85.71179590253237,8.100502007035965,37.34933005904654,0.08017778678627296,13
4753,3.2609405767096417e-4,75.54510621256188,7.38705687827523,42.491604873875346,5.983646079545102e-4,22
4755,3.782558733281074e-4,76.14448492614,9.14921032939593,39.26442083804584,0.01737063580588899,20
4757,4.29164761216462e-4,23.367840844269146,8.32302477861788,14.413106456942694,1.246978164795271,4
4759,5.890525463014441e-4,34.99093826539529,8.103862947515465,23.285200482933956,0.04822633545523347,22
4761,5.045612111124485e-4,86.00393162532872,11.739677926589943,33.96836794282107,0.011751465873238942,12
4763,0.0029732166957071693,1.0357480124861473,1.6955618906454477,3.6706620846689453,0.20108166867308208,5
4846,1.8378009284370373e-4,168.95835029174197,17.077174279970507,66.63836672905396,0,1047
5005,1.8384186795100172e-4,130.33029327827742,14.263156019271378,67.92397997430334,0,2211
5049,1.8998225525300149e-4,122.70759175145416,13.554272486302423,64.29799822558785,0,1015
14768,1.8681054955344803e-4,132.48622927242965,13.86917281747179,65.42191671084657,0,389
14797,1.773960620242249e-4,124.48092729064444,12.910735616534904,67.38062636559987,0,382
14809,2.1231412501214448e-4,121.03348645981318,12.6829163303673,64.2513390531782,0,122
14830,2.2615215242780372e-4,111.18668133196512,12.78210303262618,59.99454900625645,0,175
