tsne_X,tsne_Y,target_word
1.687266528219515,-3.8432823901613773,the
1.32999524145736,-3.646758424590059,of
1.6177643645603654,-3.374892810113321,in
1.1967621586757082,-4.384741809262285,and
0.5838439888848186,-6.744269912744562,to
0.6709400804033777,-4.439482824094751,a
-0.20516462630544177,-5.065255741133223,is
4.305612889173187,-6.0488661342129015,was
2.178710783357241,-4.067511798916853,on
0.4027000199862776,-6.65107238895408,for
0.6564386699823805,-4.893910901288499,as
0.7965302521043047,-4.058754153968615,by
-1.9972403920531325,-12.374760597711623,that
-1.7851705314251158,-9.05645874430032,it
1.2923074718404592,-5.144677093368331,with
1.961592232522287,-3.6673231772011925,from
2.629466150740375,-3.6433636063580956,at
-7.024464768279712,-2.6160991128641204,he
-2.899708003366,-10.322757627668864,this
-1.5623967215256127,-14.029046191742301,be
-9.689762888300498,-19.45723017055309,i
0.16076824537970943,-4.522202198578126,an
-7.156749523964603,-2.647268802350198,his
-2.1035597976658655,-14.242652817696964,not
0.47202670706165134,-11.056554855310512,are
1.1958130517379586,-12.586830526047951,or
-9.117500952401807,-21.816653387254053,talk
1.1607155656098604,-3.983809343195067,which
0.46388826610122585,-4.459951704491187,also
0.10137838290431286,-4.884363022286121,has
4.507468601084013,-7.132577472472811,were
-2.009273517235521,-12.43953255486166,but
-0.7089727623975778,-11.707652142325063,have
1.583414399596981,-8.488715448497697,one
0.5553535074742026,-2.937438049937251,new
4.866148757188394,-5.924644278135999,first
-9.066779615530368,-22.000642374294113,page
-3.277328990338567,-10.468269422396215,no
-11.527481369533419,-19.469597652486723,you
0.5114561329333079,-11.98785889017186,they
5.472298150340257,-7.016503423652871,had
-7.223962547046376,-2.665090617791319,who
0.5298063744572318,-9.583508637529542,all
0.8814346564315748,-11.713840273157757,their
-1.0566960256788103,-11.028889848324415,there
2.2719897162796396,-9.10895273456419,been
4.349205904552085,-8.436606693285455,made
1.3432909569519373,-3.411766506312956,its
-1.135590087289098,-9.654616543154829,people
-0.6205622843576808,-7.036517150383218,may
5.198768331993549,-6.900743570344083,after
0.15395939933798838,-10.528623879955452,other
-7.713420930973786,-20.179958179230763,should
8.755541644457232,-28.464630457628214,two
-19.442458068210087,2.0513405721625744,her
-0.7848769709836809,-15.064593456560393,can
-1.7758234907312327,-13.270815829153014,would
-0.411092272533564,-11.740850893734015,more
-7.20155176766477,-19.649704752537595,if
-19.41953631841959,2.051440691654235,she
-2.6736352759922775,-11.659251401785808,about
5.241315016832119,-8.695397712653774,when
3.4832314934561395,-7.538490001605611,time
4.275683568001971,-5.174520301368045,th
-8.991376811956155,-19.679933183853944,do
1.499643445591332,-8.752833545966144,only
-0.4466475212674546,-11.131194620203862,some
9.562142405321167,-5.798847467679709,up
-8.28471925858006,-19.660576235402345,see
4.664785502811617,-6.015271484550021,years
6.835768028247414,-4.166367967096814,into
1.2720754362731335,-1.867858898399918,school
-3.2103525999987204,-14.618178566050407,so
-2.951681902965015,1.79087793148563,world
9.316917256773733,-6.205531753788309,out
1.2656772077682565,-2.4402893573188615,state
0.7722453871694943,-5.623679434784058,most
2.626494494925827,-0.5435206855964914,city
6.365121907610969,-5.510852985573427,over
1.9827221096843815,-13.034056421883136,used
4.231137993308926,-8.092441125176435,then
-23.482494775706076,-10.837460886058105,d
-0.35117328677918236,-11.736456795525307,than
-21.77532529892297,-10.161431582558041,m
3.0969365069057453,-4.064491034955947,where
-0.13844929685410204,-15.617122819979771,will
-27.47806716061172,-9.616818870573033,de
-8.372417061809871,-17.31464749530129,what
-1.5662446848283729,-14.501457075317516,any
0.27015436987111957,-11.010930413295085,these
3.2938734814389923,-6.259172286790902,march
4.644935346801843,-9.287370214391565,being
-7.401304787550794,-2.631198989860628,him
0.2354739292341104,-10.082832889297295,many
-4.5312078920697765,-13.59320211383164,like
2.3336319077006675,-3.0637143142715724,between
8.830382418248053,-28.89621229353517,three
0.5700972187139348,-5.638569150836272,well
1.960120454389489,-13.929713913913302,use
1.5617124552862125,-4.343137131285276,under
0.3131822250827631,-12.561385296900532,them
-9.460727806167885,-18.868847974921742,we
-8.340418845217098,-3.1318752060864417,born
4.911046643005473,-8.966243772512998,while
-23.098699902439094,-10.652599288682323,c
4.7402455138242345,-6.335274846934987,later
1.6862494506879597,-2.9026273858631795,part
0.6351703512523509,-9.002961994032088,list
-11.139205787970997,-21.32039672827841,please
-12.054197362745482,-19.61085243118709,my
5.317426516765434,-5.944893036785679,second
-2.8941442847645145,-6.818649921737857,name
0.3399053421876298,-3.259737654361154,group
-4.944061204004845,-14.310255494274987,just
-23.67900244144056,-11.27340226916886,e
-3.014642690275499,-5.277062854181624,work
5.2415819835215185,-7.254000990575195,before
1.255225081976477,-5.182411966770904,both
3.015348715583493,-2.5067647062442457,high
4.239947370378416,-2.702152181271481,through
-1.6847949698993145,-8.817087684754036,now
-2.1576911573171156,-12.7733164582634,because
2.07332775801806,10.66794721587156,football
-10.706871232350123,0.39185654859495433,music
-27.550024713886057,3.3326580350146684,john
1.1700364016905425,-8.528029052229627,same
-1.769521401057191,-13.338015033317753,could
1.9767325849587936,-10.422240802009027,number
-23.13103161930179,-10.873270940204554,b
-9.223551012753703,3.561437513571412,life
-12.319256923358594,-19.222664563399416,me
8.674026194524528,-12.5761746802807,game
-2.2085479698745054,-18.47817235562127,above
3.0091423670089332,10.15800177224248,club
-11.73172092803411,-19.744084343837642,your
4.89373683351289,-6.672325580795184,until
4.369056542744013,-5.818494190388778,early
-5.385373534526863,2.664962156648012,best
14.199044014869699,-16.479381145655818,house
