type,word,tag
high_crit_words,Anna,name
high_crit_words,Anna's,name
high_crit_words,Anne,name
high_crit_words,Bertie,name
high_crit_words,Bob_the_Builder,name
high_crit_words,Bobby,name
high_crit_words,Caroline,name
high_crit_words,Caroline's,name
high_crit_words,Cathy,name
high_crit_words,Diesel,name
high_crit_words,Dizzy,name
high_crit_words,Dumpty,name
high_crit_words,Edward,name
high_crit_words,Eeyore,name
high_crit_words,Ernie,name
high_crit_words,Gordon,name
high_crit_words,Harold,name
high_crit_words,Henry,name
high_crit_words,Humpty,name
high_crit_words,Jack,name
high_crit_words,James,name
high_crit_words,Jeannine,name
high_crit_words,Jess,name
high_crit_words,Jill,name
high_crit_words,Jim,name
high_crit_words,Lala,name
high_crit_words,Noddy,name
high_crit_words,Peter,name
high_crit_words,Pingu,name
high_crit_words,Pooh_Bear,name
high_crit_words,Postman_Pat,name
high_crit_words,Rachel,name
high_crit_words,Sam,name
high_crit_words,Sue,name
high_crit_words,Ted,name
high_crit_words,Toby,name
high_crit_words,Tom,name
high_crit_words,Wendy,name
low_crit_words,Dipsy,name
low_crit_words,Elmo,name
low_crit_words,Lily,name
low_crit_words,Ma,name
low_crit_words,Rabbit,name
low_crit_words,Sally,name
low_crit_words,Sandy,name
high_crit_words,fourteen,number
high_crit_words,eleven,number
high_crit_words,thirteen,number
high_crit_words,twelve,number
high_crit_words,twenty,number
high_crit_words,aah,o
high_crit_words,achoo,o
high_crit_words,actually,o
high_crit_words,as_well,o
high_crit_words,ba,o
high_crit_words,beepbeep,o
high_crit_words,boing,o
high_crit_words,brm,o
high_crit_words,brumm,o
high_crit_words,choochoo,o
high_crit_words,cock_a_doodle_doo,o
high_crit_words,coo,o
high_crit_words,Cwww,o
high_crit_words,de,o
high_crit_words,dere,o
high_crit_words,dis,o
high_crit_words,em,o
high_crit_words,giddyup,o
high_crit_words,happy_birthday,o
high_crit_words,hooray,o
high_crit_words,if,o
high_crit_words,Jwww,o
high_crit_words,mhm,o
high_crit_words,Mwww,o
high_crit_words,neenaw,o
high_crit_words,owie,o
high_crit_words,oy,o
high_crit_words,sorry,o
high_crit_words,tick+tock,o
high_crit_words,ugh,o
high_crit_words,uhhuh,o
high_crit_words,uhhum,o
high_crit_words,uhuh,o
high_crit_words,vroom,o
high_crit_words,wah,o
high_crit_words,whoo,o
high_crit_words,whoops,o
high_crit_words,www,o
high_crit_words,ya,o
high_crit_words,zoom,o
low_crit_words,ay,o
low_crit_words,bah,o
low_crit_words,bock,o
low_crit_words,boo+boo,o
low_crit_words,D,o
low_crit_words,Da,o
low_crit_words,ee,o
low_crit_words,eee,o
low_crit_words,gobble,o
low_crit_words,good_night,o
low_crit_words,honk,o
low_crit_words,hoo,o
low_crit_words,squish,o
low_crit_words,ss,o
low_crit_words,tweet,o
low_crit_words,w,o
low_crit_words,whoa,o
low_crit_words,yay,o
high_crit_words,behind,prep
high_crit_words,bottom,prep
high_crit_words,cover,prep
high_crit_words,front,prep
high_crit_words,high,prep
high_crit_words,inside,prep
high_crit_words,later,prep
high_crit_words,next,prep
high_crit_words,past,prep
low_crit_words,into,prep
high_crit_words,everybody,pro
high_crit_words,I've,pro
high_crit_words,myself,pro
high_crit_words,ones,pro
high_crit_words,their,pro
high_crit_words,together,pro
high_crit_words,whose,pro
low_crit_words,its,pro
low_crit_words,she's,pro
low_crit_words,somebody,pro
low_crit_words,somebody's,pro
low_crit_words,someone,pro
low_crit_words,they're,pro
low_crit_words,things,pro
low_crit_words,you're,pro
high_crit_words,many,q
high_crit_words,much,q
high_crit_words,never,q
high_crit_words,ask,v
high_crit_words,ate,v
high_crit_words,blow,v
high_crit_words,bounce,v
high_crit_words,break,v
high_crit_words,build,v
high_crit_words,bump,v
high_crit_words,carry,v
high_crit_words,climbing,v
high_crit_words,cook,v
high_crit_words,cooking,v
high_crit_words,could,v
high_crit_words,crashing,v
high_crit_words,cutting,v
high_crit_words,dancing,v
high_crit_words,dig,v
high_crit_words,driving,v
high_crit_words,falling,v
high_crit_words,finish,v
high_crit_words,finished,v
high_crit_words,fit,v
high_crit_words,forgot,v
high_crit_words,found,v
high_crit_words,getting,v
high_crit_words,gotta,v
high_crit_words,have_to,v
high_crit_words,hear,v
high_crit_words,hide,v
high_crit_words,hit,v
high_crit_words,keep,v
high_crit_words,living,v
high_crit_words,love,v
high_crit_words,matter,v
high_crit_words,miss,v
high_crit_words,must,v
high_crit_words,pooed,v
high_crit_words,pour,v
high_crit_words,press,v
high_crit_words,reading,v
high_crit_words,remember,v
high_crit_words,riding,v
high_crit_words,roar,v
high_crit_words,sat,v
high_crit_words,save,v
high_crit_words,shall,v
high_crit_words,shoot,v
high_crit_words,shopping,v
high_crit_words,sing,v
high_crit_words,sink,v
high_crit_words,squeeze,v
high_crit_words,standing,v
high_crit_words,stroke,v
high_crit_words,swim,v
high_crit_words,swimming,v
high_crit_words,talking,v
high_crit_words,taste,v
high_crit_words,tell,v
high_crit_words,thank,v
high_crit_words,thanks,v
high_crit_words,touch,v
high_crit_words,wait,v
high_crit_words,wake,v
high_crit_words,whistle,v
high_crit_words,working,v
high_crit_words,would,v
high_crit_words,write,v
high_crit_words,writing,v
low_crit_words,been,v
low_crit_words,bumped,v
low_crit_words,coloring,v
low_crit_words,does,v
low_crit_words,doesn't,v
low_crit_words,dressed,v
low_crit_words,dropped,v
low_crit_words,happening,v
low_crit_words,lift,v
low_crit_words,looks,v
low_crit_words,may,v
low_crit_words,maybe,o
low_crit_words,mean,v
low_crit_words,measure,v
low_crit_words,mend,v
low_crit_words,needs,v
low_crit_words,racing,v
low_crit_words,said,v
low_crit_words,sweep,v
low_crit_words,told,v
low_crit_words,tow,v
low_crit_words,wanted,v
low_crit_words,wearing,v
low_crit_words,welcome,o
low_crit_words,wiggle,v
low_crit_words,rest,vn
high_crit_words,chip,vn
high_crit_words,chips,vn
high_crit_words,count,vn
high_crit_words,crisp,vn
high_crit_words,cross,vn
high_crit_words,drawing,vn
high_crit_words,garden,vn
high_crit_words,iron,vn
high_crit_words,jam,vn
high_crit_words,march,vn
high_crit_words,mind,vn
high_crit_words,mix,vn
high_crit_words,move,vn
high_crit_words,painting,vn
high_crit_words,park,vn
high_crit_words,present,vn
high_crit_words,row,vn
high_crit_words,screw,vn
high_crit_words,set,vn
high_crit_words,shop,vn
high_crit_words,shops,vn
high_crit_words,show,vn
high_crit_words,smile,vn
high_crit_words,stamp,vn
high_crit_words,stand,vn
high_crit_words,step,vn
high_crit_words,steps,vn
high_crit_words,wipe,vn
low_crit_words,bend,vn
low_crit_words,clip,vn
low_crit_words,flap,vn
low_crit_words,lap,vn
low_crit_words,pee,vn
low_crit_words,pinch,vn
low_crit_words,race,vn
low_crit_words,rock,vn
low_crit_words,smell,vn
low_crit_words,left,vprep
