word,Estimate,SE,t
a,8.728145123063815,2.570517579409967,3.3954815921030432
again,4.007889064150011,2.1241562581810736,1.8868146110785597
an,1.570203262772246,2.6769756488446026,0.5865586649807422
and,4.423009779909927,2.490138068404188,1.776210659172174
another,3.7820264052076458,2.028640143734205,1.8643160626043351
away,-4.206321527670218,2.197008175350764,-1.914567990626005
baby,1.8469362502288205,1.740557487676779,1.061117638058615
beep,5.347200914341628,3.3365987740146164,1.6025903252094775
breakfast,2.8701872109297013,5.110162451643613,0.5616626160302488
can,-6.095663152449299,2.2118916477102877,-2.755859745100726
car,-1.0628827464058916,1.8624141678848125,-0.5707016005000823
crying,-4.736030749376271,4.258392173508422,-1.1121640648410103
daddy,3.67385712332928,1.9105308508901953,1.9229509545043348
do,0.6469961329741821,2.2958289214396475,0.28181373922603503
dog,0.4119671565332133,2.4232498964734384,0.1700060555590037
doing,1.1239266512456105,2.313657076586688,0.4857792723992298
down,3.413446666282865,2.035950970482378,1.6765858882515803
draw,-1.8135734271952004,3.1552102495931877,-0.5747868711535248
fall,5.67540571043542,2.5234318244897174,2.2490822440123135
floor,6.575146901734271,3.8409943789634102,1.7118345545480183
get,3.5693672353844224,2.335031709517545,1.5286161728921064
go,3.5023679588996166,2.366520527205193,1.4799651719209188
goes,-1.700869175605105,2.2071961263135753,-0.770601740066421
going,-3.3336046626087756,2.1755270881609623,-1.5323204573043356
gonna,-2.323432778705098,2.111238714029326,-1.1005069030165693
green,3.1312725920650255,2.093190477058046,1.4959329436975042
happened,-5.47269304458974,4.007980708402574,-1.365448948672945
hear,-0.22741214596005577,3.3120945194214526,-0.06866112806459988
here,1.5788919479046848,2.2588591785232754,0.6989775913949988
home,3.215481409333144,2.4044884445556316,1.3372829537250657
i,6.21196632083375,2.6140195273167435,2.3764039464579865
i'm,0.8949911565234185,2.2352923277323726,0.40039110116364796
in,5.180024942200022,2.5339145821781948,2.044277647965224
is,1.7967894362355044,2.355773150915236,0.7627175118866762
it,9.458381551103443,2.599918033185358,3.637953747147658
it's,-1.5376682421018653,2.0864659476132856,-0.7369726037756851
juice,5.788779214916778,2.333794224169387,2.4804154346457183
like,1.5582032468937508,2.2557110962691453,0.6907813901660349
little,3.5047816707447246,2.164054031357298,1.619544438336653
made,-1.233935214467921,2.7970824579326155,-0.44115081804915734
make,0.9065690250154236,2.037129645747093,0.44502274408899994
mm,-1.5205155049939525,2.1719245776256253,-0.700077489180678
mommy,2.41035560190851,1.8624167766049324,1.2942084887693266
my,8.162542751326125,2.3050379912411363,3.5411749317550485
n,0.40715487521148935,3.64296703667356,0.11176463336414587
name,-1.7367594273071876,2.4992350964566814,-0.6949163885260325
no,6.217076027523724,2.239255324916116,2.776403368721082
now,-3.571920000638042,2.0796854736485777,-1.7175289465149286
oh,2.039675453885791,2.057253512029186,0.9914555702344838
okay,4.965122294422468,1.9682348709084982,2.52262693228815
on,8.627332988629732,2.528054918332314,3.4126366979088165
one,-0.26603674928708726,2.4216934879436276,-0.10985566530675664
open,0.7111989452575455,2.1635343335351407,0.32872089628245965
out,-0.9475797023251377,2.1115010590300134,-0.4487706498051387
over,-1.2215568713849336,2.0691699280714198,-0.5903608276984249
paper,10.098678969032479,2.668517524635561,3.784377983581597
piece,5.419091317149504,2.6351119771090867,2.056493752153428
put,-0.030908804599471727,2.201502073171097,-0.01403987076648533
red,4.352812978267599,2.0383077311968156,2.1355033450772396
right,0.9661848263809926,2.010765143783051,0.4805060548061887
room,1.3023351136534156,3.249823088636105,0.4007403105133281
round,-0.7989175758875906,3.549629841618271,-0.22507067258690988
s,-4.703526252100668,4.191453169499161,-1.122170775121101
say,-0.06414306345408631,2.2501737607820096,-0.028505826781925713
see,1.7734979763470038,2.254431503022101,0.7866719276986689
some,2.2731412466568037,2.176247473165499,1.0445233249830574
table,1.794335591516041,2.831807355969179,0.6336361785817645
