target_child_id,tbin,delta_resid_group,log_num_trigrams,mean_word_freq,median_word_freq,log_mean_trigram_frequency
2521,t1,low,6.660575149839686,3.99116,3.7842000000000002,1.0538227048151776
2567,t1,low,5.356586274672012,4.1985166666666665,4.07555,0.7388215450300365
2576,t1,low,0.6931471805599453,3.71285,3.67905,0.8958797346140275
2585,t1,high,2.1972245773362196,3.5683166666666666,3.58925,2.005427950249106
2588,t1,high,5.60947179518496,4.106173913043478,4.2133,0.9067461282178129
2591,t1,low,3.044522437723423,4.57485,4.45645,1.5269564863940488
2600,t1,low,5.111987788356544,3.80232,3.6821,0.9508731733841055
2618,t1,high,8.185628891147607,3.8945255102040814,3.71415,0.6874695188605892
2964,t1,high,11.852685149152284,3.562011638591118,3.5201,0.5010616807760595
3012,t1,high,12.080730486553756,3.875949132947977,3.9569,0.49821035553261955
3167,t1,high,11.308444185111208,3.5724763440860214,3.5193,0.5502993130042871
3617,t1,low,9.678216740205745,4.0230663934426225,4.0001999999999995,0.7526408353470673
3633,t1,high,11.947366681314909,3.5985420972644375,3.53775,0.4879055711834766
3643,t1,high,11.307965584089647,3.3878227053140098,3.2993,0.5460897584885801
3658,t1,high,12.287150202178141,3.4143608650875388,3.374,0.4562980904997797
3670,t1,high,11.275264544742841,3.6779026041666665,3.55165,0.5721551239566307
3679,t1,low,10.467493688772844,3.683582802547771,3.5915999999999997,0.5797822105018029
3694,t1,high,7.0630481633881725,3.5831742424242425,3.5012499999999998,0.7458985386581499
3841,t1,high,10.378167729665766,4.013077325581396,4.00525,0.7206813671331952
3951,t1,low,11.376188941396757,3.3279386018237083,3.319,0.5205386505279087
4580,t1,low,7.771910256435763,3.8606207792207794,3.6465,0.6635658573290221
4585,t1,low,10.387917864942587,3.9336784615384617,4.0051,0.6706175417165726
4589,t1,low,11.06416655995377,3.822083082706767,3.8752,0.6188025768902455
4709,t1,high,3.2188758248682006,4.35632,4.3916,1.2645127633748128
4711,t1,low,4.48863636973214,4.980833333333334,5.2948,1.0848892752195243
4713,t1,low,0,2.63775,2.63775,4.890349128221754
4715,t1,high,2.9444389791664403,3.672223076923077,3.7287,1.0631257376634484
4717,t1,low,2.1972245773362196,3.9961833333333336,3.6134500000000003,1.4617776993113425
4719,t1,high,2.1972245773362196,3.7607666666666666,5.1242,1.4617776993113425
4721,t1,high,3.4339872044851463,4.942325,4.96815,0.9704818989501607
4723,t1,high,0,4.254866666666667,3.7287,3.295836866004329
4727,t1,high,3.295836866004329,4.270041666666667,3.98865,0.7491903121811669
4729,t1,low,1.3862943611198906,5.54685,5.54685,1.2225872820554384
4731,t1,high,7.077498053569231,4.890686956521739,5.195,0.9421181337107962
4733,t1,low,2.0794415416798357,4.2326,4.4317,0.7717232629877421
4735,t1,high,5.762051382780177,4.779861538461539,5.3459,1.490220299010701
4737,t1,high,1.3862943611198906,4.077642857142857,4.2133,0.7945134575869864
4739,t1,low,2.8903717578961645,4.1096111111111115,4.3493,0.9521974364365984
4741,t1,low,6.747586526829315,4.236425925925926,3.9928,0.945414335015614
4744,t1,low,2.8903717578961645,4.6991,4.9069,1.181983085931074
4748,t1,low,4.30406509320417,4.669355555555556,4.4146,1.007591529650699
4750,t1,low,1.3862943611198906,3.883525,3.6134500000000003,1.454277789990801
4753,t1,high,5.220355825078324,4.77595,5.056150000000001,1.1097863278211426
4755,t1,low,5.159055299214529,4.822235714285714,4.99615,0.9803563870599232
4757,t1,high,0,4.3916,4.3916,0
4759,t1,high,5.236441962829949,5.1675545454545455,5.3459,0.9865870541610618
4761,t1,low,3.784189633918261,4.52582,4.7585999999999995,0.882266897037252
4763,t1,high,0,3.7287,3.7287,2.4849066497880004
4846,t1,high,10.991763269102854,3.5847277027027027,3.50355,0.5464750162638248
5005,t1,high,12.079596307379328,3.555825677419355,3.4978,0.4839746720961815
5049,t1,high,11.131152469118852,3.7337856783919596,3.6959999999999997,0.5527275147228656
14768,t1,low,9.155461710466193,3.678929605263158,3.569,0.6752031678985438
14797,t1,high,10.367284459872343,3.8723115384615383,3.8859500000000002,0.7253013227117806
14809,t1,low,8.981555940771887,4.239466233766234,4.18,0.8658351899218014
14830,t1,low,9.336620537886512,3.8082464285714286,3.70665,0.7528719599142986
14844,t1,low,8.421562960400987,3.822815625,3.8145,0.8387988928921515
14854,t1,low,7.261927092702751,4.277136363636363,4.3493,1.1245098894160663
14871,t1,low,11.099045047260717,4.2201886597938145,4.3073,0.6525681684614361
14879,t1,low,9.054037377580782,4.116127272727272,4.41725,0.8517566189407462
14909,t1,low,7.781138509845015,4.284537037037037,4.13705,0.8115595357278419
14917,t1,low,6.182084906716632,4.504230434782609,4.2572,0.8664936642033695
14928,t1,high,8.651199471263972,4.186833333333333,4.11135,0.714064581344333
14942,t1,low,9.526755663250837,4.239082608695652,4.34855,0.8485394614866357
14954,t1,low,6.759255270663693,4.874940909090909,5.037,0.9147676729208726
14966,t1,high,9.901986426409861,4.0247021582733815,3.9509,0.7055092232143335
14977,t1,high,8.058643712215618,4.342023913043478,4.17155,0.94190833130681
14994,t1,low,7.1284959456800365,4.6083,4.8808,0.9388333702873052
15001,t1,low,8.200562797008564,4.052701449275363,4.0568,0.7613840144910565
15014,t1,low,6.104793232414985,4.233208571428571,4.0522,0.631799667632142
15030,t1,high,9.96274653641105,4.200879710144927,4.17445,0.7086550476516643
15038,t1,low,6.732210706467206,4.160803571428572,4.29695,0.9656805059904996
15062,t1,low,6.1779441140506,4.452525,4.2858,1.2231691731056133
15068,t1,low,7.071573364211532,4.3592875,4.52725,1.2615492559570747
15080,t1,high,5.82600010738045,4.263604,4.5143,0.7786208512176357
15093,t1,low,7.68937110752969,4.391411363636363,4.4031,0.9194670749819367
15109,t1,high,8.39366870513074,4.080022222222222,3.9555,0.876819477774516
15120,t1,low,9.26955223160803,4.119178260869565,4.0655,0.8610322029087826
15134,t1,low,8.656781205623291,4.575855319148936,4.7201,0.8928719264945003
15156,t1,high,4.990432586778736,4.404031578947368,4.3916,0.8193572311953589
15170,t1,low,9.014690384970896,3.9663126213592235,3.722,0.823071469704957
15197,t1,low,4.852030263919617,4.450172727272728,4.6637,1.1393587738318711
15206,t1,high,9.475393326367602,4.353756043956044,4.4535,0.7757276106590103
15217,t1,high,4.465908118654584,4.239338461538462,4.1731,0.925724108056187
15227,t1,low,4.875197323201151,4.4171125,4.7333,1.0687940369594724
15392,t1,high,11.304842925081322,3.590330505050505,3.5294,0.5588587779958241
15397,t1,high,10.418912582797015,3.6626834437086093,3.5631000000000004,0.6328522607044244
15400,t1,high,9.8001804826702,3.6776875,3.627,0.7170101469637469
15404,t1,high,11.146907006028343,3.582187685774947,3.5517,0.5387807415895387
15412,t1,high,10.45472548691338,3.792211153846154,3.6783,0.6399513365844496
15418,t1,high,10.737743594055953,3.6295174050632912,3.5176,0.6379634946884633
15423,t1,high,10.358314090182017,3.570412582781457,3.5227500000000003,0.6424703825982296
15430,t1,low,10.598782425153532,3.6234996539792386,3.5315,0.6273727966569111
15436,t1,high,10.576278952838999,3.606693113772455,3.54365,0.617267559504162
15449,t1,low,8.527539483470381,4.231818461538461,4.2009,0.8233764968653099
15455,t1,high,10.915597425580886,3.57554975,3.53005,0.5962788220176812
15480,t1,high,12.102848734594868,3.45575987654321,3.4307999999999996,0.47707492599736956
15513,t1,high,12.04403595267879,3.3801075991189427,3.335,0.4635953343680999
15532,t1,high,11.227427671909043,3.72282,3.70665,0.5750260525529157
15614,t1,low,9.29053691397046,4.436842465753425,4.4418,0.8168630372292118
15657,t1,low,8.625868208041894,3.6629073333333335,3.51785,0.625028375182471
15658,t1,high,10.092701965587253,3.7156966666666666,3.6873500000000003,0.6102199018840014
