target_child_id,tbin,delta_resid_group,log_num_trigrams,mean_word_freq,median_word_freq
2521,t1,low,7.1891677384203225,4.16304358974359,3.9555
2567,t1,low,5.84354441703136,4.337873913043478,4.3493
2576,t1,low,0.6931471805599453,3.71285,3.67905
2585,t1,high,2.1972245773362196,3.6193,3.6083
2588,t1,high,6.194405391104672,4.2519217391304345,4.4146
2591,t1,low,3.7376696182833684,4.57485,4.45645
2600,t1,low,4.990432586778736,3.9073350000000002,3.7253499999999997
2618,t1,high,8.559486103606488,4.103883908045977,3.9328
2964,t1,high,11.85478317386778,3.986794936708861,3.9256
3012,t1,high,11.838871061847058,4.1830748427672955,4.1291
3167,t1,high,11.365631225939456,3.981778488372093,3.8714500000000003
3617,t1,low,10.206033606636451,4.236988034188034,4.3493
3633,t1,high,11.799907292307616,4.040417732558139,3.98375
3643,t1,high,11.331990945794695,3.846549311294766,3.6971
3658,t1,high,11.942373991160347,3.898071140939597,3.7966
3670,t1,high,11.413027778630203,4.055086037735849,3.986
3679,t1,low,10.812189562761608,3.9954129166666665,3.93215
3694,t1,high,7.565793282428515,3.944735185185185,3.72465
3841,t1,high,10.638448235909484,4.275847222222223,4.27425
3951,t1,low,11.494313328758247,3.923124797843666,3.8028
4580,t1,low,8.304494897963567,4.1133253731343284,3.9928
4585,t1,low,10.72300303191088,4.1862551136363635,4.1681
4589,t1,low,11.253727183485415,4.1691569444444445,4.228149999999999
4709,t1,high,4.110873864173311,4.3908000000000005,4.4031
4711,t1,low,5.3230099791384085,4.93907,5.2907
4713,t1,low,0,3.7314,3.7314
4715,t1,high,4.248495242049359,4.21595,4.39555
4717,t1,low,3.6635616461296463,4.077185714285714,3.7287
4719,t1,high,2.1972245773362196,5.4906500000000005,5.4906500000000005
4721,t1,high,5.159055299214529,4.9002,4.821
4723,t1,high,2.1972245773362196,4.375025,4.2321
4727,t1,high,3.367295829986474,4.2447923076923075,3.9797
4729,t1,low,3.1780538303479458,5.232275,5.346299999999999
4731,t1,high,7.502738210754851,4.8739869565217395,5.195
4733,t1,low,3.4339872044851463,4.2877,4.43675
4735,t1,high,6.396929655216146,4.764385714285714,4.95455
4737,t1,high,3.2188758248682006,4.1383375,4.30335
4739,t1,low,4.143134726391533,4.1549700000000005,4.37045
4741,t1,low,7.449498005382849,4.320677777777778,4.4317
4744,t1,low,2.8903717578961645,4.6991,4.9069
4748,t1,low,5.075173815233827,4.65874,4.4889
