target_child_id,Familiarity,Length_Syllables,Bigram,ColtheartN,Num_Feats_Tax,Num_Feats_No_Tax,Num_Disting_Feats_No_Tax,Disting_Feats_%_No_Tax,Mean_Distinct_No_Tax,Mean_CV_No_Tax,Density_No_Tax,Num_Corred_Pairs_No_Tax,%_Corred_Pairs_No_Tax,Num_Func,Num_Vis_Mot,Num_VisF&S,Num_Vis_Col,Num_Sound,Num_Taste,Num_Smell,Num_Tact,Num_Ency,Num_Tax,n_clusters
2521,7.725,1,1999.8899999999999,15.5,11.5,11.5,4.5,34.1,0.3755,0.371,121.82,4,19,6,0,3.5,0.5,0,0,0,0.5,1,0,3
2567,8.35,1,3261.22,18,9,9,1,11.1,0.226,0.201,63.05,5,18,5,0,1,1,0,0,0,1,1,0,2
2576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2600,7.8,1,NaN,11,14,13,4,30.8,0.364,0.378,48.58,4,11,2,0,10,1,0,0,0,0,0,1,2
2618,7.17,1.4,1146.4175,5.8,18.2,16.2,3.6,22.92,0.2626,0.259,294.13599999999997,15.6,20.8,3.4,0.8,4.8,2,0,1,0.2,0.8,3.2,2,6
2964,7.481,1.38,1491.0534146341463,6.34,14.82,13.52,4.9,36.546,0.39224,0.39838,192.092,9.84,26.42,3.24,0.32,5.6,0.54,0.28,0.2,0.06,0.5,2.78,1.3,24
3012,6.976190476190476,1.3333333333333333,1944.9026666666666,9.095238095238095,15,13.428571428571429,3.9047619047619047,28.52857142857143,0.3117619047619048,0.3091904761904762,192.45857142857142,9.857142857142858,21.714285714285715,2.4761904761904763,0.5714285714285714,5.714285714285714,0.7619047619047619,0.19047619047619047,0.14285714285714285,0,0.8095238095238095,2.761904761904762,1.5714285714285714,14
3167,7.6695652173913045,1.2608695652173914,1371.758947368421,8,14.804347826086957,13.434782608695652,4.8478260869565215,36.27391304347826,0.3860217391304348,0.39010869565217393,196.15565217391304,9.434782608695652,23.456521739130434,3.347826086956522,0.3695652173913043,5.065217391304348,0.6956521739130435,0.17391304347826086,0.1956521739130435,0.043478260869565216,0.6304347826086957,2.9130434782608696,1.3695652173913044,23
3617,7.5,1.3333333333333333,1863.8975,11.666666666666666,16.5,15,4.166666666666667,26.75,0.302,0.2946666666666667,178.80833333333334,11.333333333333334,20.833333333333332,2.1666666666666665,1,4.833333333333333,1.6666666666666667,0.5,0.5,0,0.8333333333333334,3.5,1.5,6
3633,7.891176470588235,1.4705882352941178,1671.32,7.823529411764706,16.41176470588235,14.941176470588236,5.294117647058823,34.35294117647059,0.3791764705882353,0.3809411764705882,269.97,13.529411764705882,28.58823529411765,3,0.7647058823529411,6.352941176470588,0.5882352941176471,0.4117647058823529,0.058823529411764705,0.058823529411764705,0.47058823529411764,3.235294117647059,1.4705882352941178,11
3643,7.113043478260869,1.2608695652173914,1636.6135294117646,8.26086956521739,15.282608695652174,13.673913043478262,4.521739130434782,33.27173913043478,0.3612173913043478,0.3631521739130435,227.6271739130435,11.130434782608695,24.869565217391305,3.0869565217391304,0.6086956521739131,5.173913043478261,0.9347826086956522,0.21739130434782608,0.391304347826087,0.043478260869565216,0.391304347826087,2.8260869565217392,1.608695652173913,21
3658,6.536075949367088,1.5949367088607596,1503.1819117647058,5.531645569620253,15.443037974683545,13.772151898734178,4.506329113924051,32.32784810126582,0.34507594936708863,0.3479493670886076,179.62708860759494,9.354430379746836,22.227848101265824,2.721518987341772,1,4.886075949367089,0.9493670886075949,0.2911392405063291,0.22784810126582278,0.05063291139240506,0.3670886075949367,3.278481012658228,1.6708860759493671,26
3670,6.547058823529412,1.411764705882353,1400.6323076923077,8.588235294117647,15.882352941176471,14.058823529411764,4.882352941176471,34.86470588235294,0.3578823529411765,0.36317647058823527,141.73117647058822,8.117647058823529,20.529411764705884,2.176470588235294,0.8823529411764706,5.764705882352941,1.1176470588235294,0.4117647058823529,0,0.058823529411764705,0.29411764705882354,3.3529411764705883,1.8235294117647058,12
3679,7.3,1.6111111111111112,1028.344,6.222222222222222,15.222222222222221,13.833333333333334,4.5,31.283333333333335,0.3523888888888889,0.3495,263.7088888888889,12.333333333333334,26.72222222222222,2.9444444444444446,0.3333333333333333,5.055555555555555,1.2777777777777777,0.5555555555555556,0.4444444444444444,0,0.6111111111111112,2.611111111111111,1.3888888888888888,11
3694,7.65,1,756.54,4,13,11,2,18.2,0.262,0.25,273.68,14,39,2,0,6,0,0,0,0,1,2,2,2
3841,6.08,1.4,2152.352,5.2,16.8,14.4,5.4,38.44,0.3988,0.4054,226.804,11.2,24,3,1.2,4.8,0.8,0.8,0,0,0,3.8,2.4,5
3951,7.3113636363636365,1.4545454545454546,1458.5107692307693,5.431818181818182,15.295454545454545,13.863636363636363,5.159090909090909,36.975,0.37881818181818183,0.3829772727272727,200.66863636363635,9.863636363636363,23.545454545454547,3.0681818181818183,0.7727272727272727,4.954545454545454,0.9090909090909091,0.36363636363636365,0.11363636363636363,0.06818181818181818,0.6136363636363636,3,1.4318181818181819,21
4580,5.4,1,1503.4099999999999,12.5,18.5,16.5,6,36.75,0.37250000000000005,0.374,390.65,15.5,22,4,2,6,0.5,0.5,0,0.5,0,3,2,3
4585,6.304545454545455,1.0909090909090908,2004.4071428571428,11.545454545454545,17.90909090909091,15.909090909090908,6.181818181818182,38.836363636363636,0.3976363636363636,0.3991818181818182,225.3609090909091,12.454545454545455,29.363636363636363,2.5454545454545454,2,6.454545454545454,0.6363636363636364,0.6363636363636364,0,0.18181818181818182,0.18181818181818182,3.272727272727273,2,8
4589,8.75,1.25,905.04,3.25,14.5,13.75,5.75,40.7,0.37725,0.37424999999999997,120.875,5.25,17.25,4.25,0,6,0.25,0,0,0,0.5,2.75,0.75,4
4711,8.35,1,3261.22,18,9,9,1,11.1,0.226,0.201,63.05,5,18,5,0,1,1,0,0,0,1,1,0,2
4717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
4721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
4729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
4731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
4735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
4737,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
4739,8.524999999999999,1,2427.685,10,12.5,12,4,28.900000000000002,0.312,0.313,179.1,7,25,4,0,4,0.5,0,0,0,1.5,2,0.5,3
4741,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
4744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
4748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
4750,8.666666666666666,1,2427.685,11.333333333333334,14,13.333333333333334,5.666666666666667,38.03333333333333,0.3946666666666667,0.4013333333333333,191.92333333333332,7.333333333333333,29.333333333333332,3.3333333333333335,0,4.333333333333333,0.3333333333333333,0,0,0,2,3.3333333333333335,0.6666666666666666,3
