target_child_id,words_in_norms_t1,total_words_t1,mean_log_word_freq_t1,log_centrality_t1,log_total_words_t1,words_in_norms_t2,total_words_t2,mean_log_word_freq_t2,log_centrality_t2,log_total_words_t2,delta_resid_group,age_t1,age_t2,mtld_diff,age_diff,log_mtld_t2,log_mtld_t1,log_num_trigrams_t1,log_num_trigrams_t2,mean_log_freq_trigrams_t1,mean_log_freq_trigrams_t2,log_transcript_length_t1,log_transcript_length_t2,log_n_adult_trigrams_t1,log_n_adult_trigrams_t2
2521,60,72,3.987675,-1.8397876252775758,4.276666119016055,59,65,4.845475,-1.806538197144071,4.174387269895637,low,614.936994907493,887.686770878252,4.80149509777649,272.749775970759,2.563535629934074,2.1017091956176257,7.368970402194793,9.677026002747972,1.135413545782918,0.7999965282594446,5.10594547390058,5.4510384535657,0.6931471805599453,3.4965075614664802
2567,35,39,4.253334615384615,-1.818354003345339,3.6635616461296463,194,220,4.14552,-1.8184342250987309,5.393627546352362,low,630.749481919547,891.686767592764,7.93813079299691,260.937285673217,2.6784930466450954,1.890850371872286,6.343880434126331,11.06333604067481,0.7074147348142277,0.7156940535680608,4.90527477843843,6.684611727667927,0,4.543294782270004
2576,8,8,3.71285,-1.8444726050315234,2.0794415416798357,42,47,4.541964516129032,-1.820026256277078,3.8501476017100584,low,601.312006098688,839.811810201442,4.86046511627907,238.499804102754,2.2680417957484496,1.5686159179138452,2.1972245773362196,7.975564658495202,1.4973647252921403,0.9550430973271966,2.9444389791664403,4.787491742782046,-Inf,1.0986122886681098
2585,28,29,3.5683166666666666,-1.877263296442904,3.367295829986474,72,86,4.3610533333333334,-1.8167003810202982,4.454347296253507,high,601.312006098688,856.249296700138,12.4605341502013,254.93729060145,2.9616038358875487,1.926933106953316,2.1972245773362196,9.13399913871946,2.005427950249106,0.9318315569653766,4.219507705176107,5.236441962829949,-Inf,2.3978952727983707
2588,36,44,4.041837037037038,-1.844818699090326,3.784189633918261,146,166,4.322118320610687,-1.7951494281276243,5.111987788356544,high,615.749494240128,881.249276165835,19.6550159530718,265.499781925707,3.2947550005083195,1.9900349539642512,6.519147287940395,10.892303576214507,0.9654085698036353,0.7563413810932245,4.663439094112067,6.1779441140506,-Inf,4.418840607796598
2591,9,9,4.57485,-1.8430471269425557,2.1972245773362196,53,54,4.2966255813953484,-1.8197616201624147,3.9889840465642745,low,637.749476169942,834.811814308302,-0.188082519730738,197.06233813836,2.2530356133515435,2.272606513539203,4.59511985013459,8.14002395246292,1.0504714031915923,0.8131695875984034,3.044522437723423,4.859812404361672,-Inf,1.6094379124341003
2600,35,41,3.80232,-1.8606554547924103,3.713572066704308,73,82,4.525471929824562,-1.804081059029627,4.406719247264253,low,603.312004455944,836.811812665558,3.60809460282627,233.499808209614,2.6113524240276127,2.3035206926256797,5.5053315359323625,9.114600099695346,1.081448646093406,0.723361151850932,4.394449154672439,5.332718793265369,-Inf,2.4849066497880004
2618,131,148,3.905292523364486,-1.8333170990235335,4.997212273764115,313,373,3.9322641221374046,-1.8341275643170085,5.921578419643816,high,669.624449988706,760.936874987166,8.07971613614441,91.31242499846,2.8426403550749724,2.2062174436967834,8.80941494391005,11.270535381710154,0.7442788008154346,0.6258771968187339,6.169610732491456,7.534762657037537,1.0986122886681098,4.605170185988092
2964,942,1083,3.421641992882562,-1.8467382902763052,6.9874902470009905,965,1133,3.514265011547344,-1.8466315576673848,7.0326242610280065,high,669.624449988706,791.374349986653,8.32671777107111,121.749899997947,3.212662755734386,2.8044771528819843,12.429616116865711,12.811216138741559,0.5059605363870389,0.4555024287133986,9.65046452256919,9.556692215591841,6.42648845745769,7.215239978730097
3012,800,948,3.759106069802731,-1.838716617338881,6.854354502255021,723,873,3.795692703150912,-1.8351317837338557,6.771935555839602,high,694.405679634079,812.362969110809,3.65604545166478,117.95728947673,3.0437747914143753,2.852338685738325,12.68737161653782,12.904739564267844,0.49606884849597693,0.45606043563103765,9.067047202149707,8.642944396721798,7.057897937411856,6.78897174299217
3167,830,986,3.4521082369942198,-1.860193152423896,6.893656354602635,420,461,3.801456873315364,-1.8494279855158737,6.133398042996649,high,682.304439573708,759.645209381438,4.56638642172191,77.3407698077305,2.548736459601612,2.1071230108814145,11.829326181003843,12.072929748859895,0.5499530830548014,0.5289283045859626,9.94136120496421,8.422003004412488,5.0369526024136295,4.820281565605037
3617,196,211,4.01272,-1.8449155705491473,5.351858133476067,451,503,3.6621797752808987,-1.8556308579861702,6.220590170099739,low,675.010809200861,827.82432004764,0.891973314472748,152.813510846779,1.9061682732655225,1.7639237940361272,10.466070363074957,11.52247967777504,0.7740014529723636,0.5961184039254339,8.24564690087386,8.940367233305174,3.6888794541139363,4.941642422609304
3633,1020,1112,3.3898957470010904,-1.8549059188552366,7.013915474810528,980,1070,3.5154865688487584,-1.843624858848997,6.975413927455952,high,668.47672365869,833.096537939406,4.62993982948773,164.619814280716,2.954603336794531,2.6785642506997864,12.536882452240109,12.916106441246543,0.488077439583717,0.44329725528158037,8.790421306897867,8.860641041773876,6.410174881966167,6.706862336602747
3643,908,1038,3.211248310387985,-1.856563166426732,6.945051063725834,1416,1590,3.2450690033783784,-1.855466974702011,7.371489295214277,high,678.635806223387,818.645160920484,4.42743681140339,140.009354697097,2.6713490870204413,2.3057826057924995,11.80558015344853,12.824709080526384,0.5438774995420766,0.4487642069358328,8.937349848267392,9.76249985923515,5.602118820879701,7.382124365737512
