log_total_words_t1,log_transcript_length_t1,mean_log_word_freq_t1,log_mtld_t1,log_n_parent_trigrams_t1,log_n_kid_trigrams_t1,age_t1,log_centrality_t1,log_total_words_t2,log_transcript_length_t2,mean_log_word_freq_t2,log_mtld_t2,log_n_parent_trigrams_t2,log_n_kid_trigrams_t2,age_t2,log_centrality_t2,age_diff,mtld_diff,mtld_t2,mtld_t1
4.276666119016055,5.10594547390058,3.987675,2.1017091956176257,7.368970402194793,1.0986122886681098,614.936994907493,-1.8397876252775758,4.174387269895637,5.4510384535657,4.845475,2.563535629934074,9.677026002747972,3.5263605246161616,887.686770878252,-1.806538197144071,272.749775970759,4.80149509777649,11.9816345270891,7.18013942931258
3.6635616461296463,4.90527477843843,4.253334615384615,1.890850371872286,6.343880434126331,0.6931471805599453,630.749481919547,-1.818354003345339,5.393627546352362,6.684611727667927,4.14552,2.6784930466450954,11.06333604067481,4.553876891600541,891.686767592764,-1.8184342250987309,260.937285673217,7.93813079299691,13.5631307929969,5.625
2.0794415416798357,2.9444389791664403,3.71285,1.5686159179138452,2.1972245773362196,0,601.312006098688,-1.8444726050315234,3.8501476017100584,4.787491742782046,4.541964516129032,2.2680417957484496,7.975564658495202,1.3862943611198906,839.811810201442,-1.820026256277078,238.499804102754,4.86046511627907,8.66046511627907,3.8
3.367295829986474,4.219507705176107,3.5683166666666666,1.926933106953316,2.1972245773362196,0,601.312006098688,-1.877263296442904,4.454347296253507,5.236441962829949,4.3610533333333334,2.9616038358875487,9.13399913871946,2.4849066497880004,856.249296700138,-1.8167003810202982,254.93729060145,12.4605341502013,18.3289473684211,5.86841321821971
3.784189633918261,4.663439094112067,4.041837037037038,1.9900349539642512,6.519147287940395,0,615.749494240128,-1.844818699090326,5.111987788356544,6.1779441140506,4.322118320610687,3.2947550005083195,10.892303576214507,4.430816798843313,881.249276165835,-1.7951494281276243,265.499781925707,19.6550159530718,25.970805426756,6.31578947368421
2.1972245773362196,3.044522437723423,4.57485,2.272606513539203,4.59511985013459,0,637.749476169942,-1.8430471269425557,3.9889840465642745,4.859812404361672,4.2966255813953484,2.2530356133515435,8.14002395246292,1.791759469228055,834.811814308302,-1.8197616201624147,197.06233813836,-0.188082519730738,8.5165806927045,8.70466321243523
3.713572066704308,4.394449154672439,3.80232,2.3035206926256797,5.5053315359323625,0,603.312004455944,-1.8606554547924103,4.406719247264253,5.332718793265369,4.525471929824562,2.6113524240276127,9.114600099695346,2.5649493574615367,836.811812665558,-1.804081059029627,233.499808209614,3.60809460282627,12.6174549772412,9.00936037441497
4.997212273764115,6.169610732491456,3.905292523364486,2.2062174436967834,8.80941494391005,1.3862943611198906,669.624449988706,-1.8333170990235335,5.921578419643816,7.534762657037537,3.9322641221374046,2.8426403550749724,11.270535381710154,4.61512051684126,760.936874987166,-1.8341275643170085,91.31242499846,8.07971613614441,16.1610169491525,8.08130081300813
6.9874902470009905,9.65046452256919,3.421641992882562,2.8044771528819843,12.429616116865711,6.428105272684596,669.624449988706,-1.8467382902763052,7.0326242610280065,9.556692215591841,3.514265011547344,3.212662755734386,12.811216138741559,7.215975002651466,791.374349986653,-1.8466315576673848,121.749899997947,8.32671777107111,23.8451548017294,15.5184370306583
6.854354502255021,9.067047202149707,3.759106069802731,2.852338685738325,12.68737161653782,7.0587581525186645,694.405679634079,-1.838716617338881,6.771935555839602,8.642944396721798,3.795692703150912,3.0437747914143753,12.904739564267844,6.790097235513905,812.362969110809,-1.8351317837338557,117.95728947673,3.65604545166478,19.9843052952851,16.3282598436203
